study	biosample_id	sra_id	sample_identifier	sample_group	color
wBm_chung_2019	SAMN04314690	SRR3111564	chung_wbm_vector18hpi_a	"vector, 18 hpi"	indianred1
wBm_chung_2019	SAMN04314690	SRR5192555	chung_wbm_vector18hpi_a	"vector, 18 hpi"	indianred1
wBm_chung_2019	SAMN04314691	SRR3111566	chung_wbm_vector18hpi_b	"vector, 18 hpi"	indianred1
wBm_chung_2019	SAMN04314691	SRR5192556	chung_wbm_vector18hpi_b	"vector, 18 hpi"	indianred1
wBm_chung_2019	SAMN04314692	SRR3111567	chung_wbm_vector4dpi_a	"vector, 4 dpi"	indianred3
wBm_chung_2019	SAMN04314692	SRR5192557	chung_wbm_vector4dpi_a	"vector, 4 dpi"	indianred3
wBm_chung_2019	SAMN04314693	SRR3111570	chung_wbm_vector4dpi_b	"vector, 4 dpi"	indianred3
wBm_chung_2019	SAMN04314693	SRR5192558	chung_wbm_vector4dpi_b	"vector, 4 dpi"	indianred3
wBm_chung_2019	SAMN04314693	SRR5192559	chung_wbm_vector4dpi_b	"vector, 4 dpi"	indianred3
wBm_chung_2019	SAMN04314694	SRR3111573	chung_wbm_vector8dpi_a	"vector, 8 dpi"	red
wBm_chung_2019	SAMN04314694	SRR5192560	chung_wbm_vector8dpi_a	"vector, 8 dpi"	red
wBm_chung_2019	SAMN04314695	SRR3111574	chung_wbm_vector8dpi_b	"vector, 8 dpi"	red
wBm_chung_2019	SAMN04314695	SRR5192561	chung_wbm_vector8dpi_b	"vector, 8 dpi"	red
wBm_chung_2019	SAMN04314682	SRR5099219	chung_wbm_mammal1dpi_a	"jird, 1 dpi"	chartreuse1
wBm_chung_2019	SAMN04314682	SRR5099220	chung_wbm_mammal1dpi_a	"jird, 1 dpi"	chartreuse1
wBm_chung_2019	SAMN04314688	SRR5099250	chung_wbm_mammal1dpi_b	"jird, 1 dpi"	chartreuse1
wBm_chung_2019	SAMN04314688	SRR5099251	chung_wbm_mammal1dpi_b	"jird, 1 dpi"	chartreuse1
wBm_chung_2019	SAMN04314683	SRR5099332	chung_wbm_mammal2dpi_a	"jird, 2 dpi"	chartreuse3
wBm_chung_2019	SAMN04314683	SRR5099333	chung_wbm_mammal2dpi_a	"jird, 2 dpi"	chartreuse3
wBm_chung_2019	SAMN04314689	SRR5099334	chung_wbm_mammal2dpi_b	"jird, 2 dpi"	chartreuse3
wBm_chung_2019	SAMN04314689	SRR5099335	chung_wbm_mammal2dpi_b	"jird, 2 dpi"	chartreuse3
wBm_chung_2019	SAMN04314672	SRR3111502	chung_wbm_mammal3dpi_a	"jird, 3 dpi"	green3
wBm_chung_2019	SAMN04314673	SRR3111503	chung_wbm_mammal3dpi_b	"jird, 3 dpi"	green3
wBm_chung_2019	SAMN04314674	SRR3111505	chung_wbm_mammal4dpi_a	"jird, 4 dpi"	green4
wBm_chung_2019	SAMN04314674	SRR3111506	chung_wbm_mammal4dpi_a	"jird, 4 dpi"	green4
wBm_chung_2019	SAMN04314675	SRR3111508	chung_wbm_mammal4dpi_b	"jird, 4 dpi"	green4
wBm_chung_2019	SAMN04314676	SRR3111509	chung_wbm_mammal8dpi_a	"jird, 8 dpi"	darkgreen
wBm_chung_2019	SAMN04314677	SRR3111511	chung_wbm_mammal8dpi_b	"jird, 8 dpi"	darkgreen
wBm_chung_2019	SAMN04314678	SRR3111513	chung_wbm_mammal20dpi_immaturemale_a	"jird, 20 dpi, immature male"	dodgerblue
wBm_chung_2019	SAMN04314679	SRR3111515	chung_wbm_mammal20dpi_immaturemale_b	"jird, 20 dpi, immature male"	dodgerblue
wBm_chung_2019	SAMN04314680	SRR3111519	chung_wbm_mammal24dpi_immaturefemale_a	"jird, 24 dpi, immature female"	steelblue1
wBm_chung_2019	SAMN04314680	SRR5192564	chung_wbm_mammal24dpi_immaturefemale_a	"jird, 24 dpi, immature female"	steelblue1
wBm_chung_2019	SAMN04314681	SRR3111522	chung_wbm_mammal24dpi_immaturefemale_b	"jird, 24 dpi, immature female"	steelblue1
wBm_chung_2019	SAMN04314668	SRR3111492	chung_wbm_adultmale_a	"jird, adult male"	darkorchid
wBm_chung_2019	SAMN04314669	SRR3111495	chung_wbm_adultmale_b	"jird, adult male"	darkorchid
wBm_chung_2019	SAMN04314664	SRR3111300	chung_wbm_adultfemale_a	"jird, adult female"	mediumpurple1
wBm_chung_2019	SAMN04314664	SRR5192563	chung_wbm_adultfemale_a	"jird, adult female"	mediumpurple1
wBm_chung_2019	SAMN04314665	SRR3111487	chung_wbm_adultfemale_b	"jird, adult female"	mediumpurple1
wBm_chung_2019	SAMN04314666	SRR3111489	chung_wbm_adultfemale_c	"jird, adult female"	mediumpurple1
wBm_chung_2019	SAMN04314667	SRR3111491	chung_wbm_adultfemale_d	"jird, adult female"	mediumpurple1
wBm_chung_2019	SAMN04314667	SRR5192562	chung_wbm_adultfemale_d	"jird, adult female"	mediumpurple1
wBm_chung_2019	SAMN04314670	SRR3111496	chung_wbm_embryo_a	"jird, embryo"	gold
wBm_chung_2019	SAMN04314671	SRR3111499	chung_wbm_embryo_b	"jird, embryo"	gold
wBm_chung_2019	SAMN04314684	SRR5099328	chung_wbm_immatureMF_a	"jird, immature microfilariae"	darkgoldenrod1
wBm_chung_2019	SAMN04314684	SRR5099329	chung_wbm_immatureMF_a	"jird, immature microfilariae"	darkgoldenrod1
wBm_chung_2019	SAMN04314685	SRR3111543	chung_wbm_immatureMF_b	"jird, immature microfilariae"	darkgoldenrod1
wBm_chung_2019	SAMN04314686	SRR5099330	chung_wbm_matureMF_a	"jird, mature microfilariae"	darkorange
wBm_chung_2019	SAMN04314686	SRR5099331	chung_wbm_matureMF_a	"jird, mature microfilariae"	darkorange
wBm_chung_2019	SAMN04314687	SRR3111545	chung_wbm_matureMF_b	"jird, mature microfilariae"	darkorange
wBm_chung_2019	SAMN04314687	SRR3111546	chung_wbm_matureMF_b	"jird, mature microfilariae"	darkorange
wBm_grote_2017	SAMN05824316	SRR4308250	grote_wbm_L4_a	L4	olivedrab1
wBm_grote_2017	SAMN05824317	SRR4308251	grote_wbm_L4_b	L4	olivedrab1
wBm_grote_2017	SAMN05824311	SRR4308248	grote_wbm_30dpi_immaturemale_a	"30 dpi, immature male"	darkslategray1
wBm_grote_2017	SAMN05824313	SRR4308249	grote_wbm_30dpi_immaturemale_b	"30 dpi, immature male"	darkslategray1
wBm_grote_2017	SAMN05824307	SRR4308258	grote_wbm_30dpi_immaturefemale_a	"30 dpi, immature female"	plum
wBm_grote_2017	SAMN05824310	SRR4308259	grote_wbm_30dpi_immaturefemale_b	"30 dpi, immature female"	plum
wBm_grote_2017	SAMN05824305	SRR4308256	grote_wbm_42dpi_immaturemale_a	"42 dpi, immature male"	dodgerblue
wBm_grote_2017	SAMN05824306	SRR4308257	grote_wbm_42dpi_immaturemale_b	"42 dpi, immature male"	dodgerblue
wBm_grote_2017	SAMN05824302	SRR4308254	grote_wbm_42dpi_immaturefemale_a	"42 dpi, immature female"	mediumpurple1
