darby_woo_adultmale_a	darby_woo_adultmale_b	darby_woo_adultfemale_a	darby_woo_adultfemale_b
cds0	0	1.81	3.05	4.16
cds10	14	40.4	67.32	39.03
cds100	98.87	209.1	272.18	120.5
cds101	31.83	87.14	111.24	50.52
cds102	157.21	496.67	798.19	471.3
cds103	140.59	867.9	2281.62	926.93
cds104	4.47	8.95	29.47	11.11
cds105	9.87	33.54	90.31	52.69
cds106	34.08	105.26	153.53	85.31
cds107	29.82	122.52	332.01	159.66
cds108	16.84	48.23	89.7	42.7
cds109	15.36	42.89	70.18	41.67
cds11	7	14.48	33.63	22.64
cds110	224.19	1030.03	1602.69	633.57
cds111	34.62	101.93	140.82	96.66
cds113	221.19	431.85	1010.09	871.77
cds114	50.53	250.26	397.56	258.27
cds115	46.99	129.75	255.05	124.64
cds116	73.76	328.22	491.27	313.72
cds117	61.8	381.16	350.15	202.97
cds118	8.4	19.67	35.72	23.74
cds119	108.69	185.2	652.26	435.3
cds12	5.75	8	54.65	21.71
cds120	45.86	45.67	78.77	71.62
cds121	10.07	17.98	33.21	23.89
cds122	17.5	41.73	103.56	77.21
cds123	6.5	36.31	36.88	25.21
cds124	5.74	24.39	39.32	32.04
cds125	23.42	136.73	208.65	134.38
cds126	0	1.26	6.91	2.27
cds129	32.85	70.21	129.56	81.01
cds13	3.94	16.45	36.77	19.22
cds130	107.41	180.37	307.87	246.56
cds131	18.76	10.5	46.73	13.9
cds133	178.38	421.5	791.3	415.8
cds135	20.5	32.55	75.31	43.65
cds136	1.83	6.48	29.19	8.29
cds137	2.6	11.66	17.3	18.1
cds138	53.81	120.57	138.02	91.69
cds139	24.25	30.24	94.77	74.21
cds14	31.37	107.66	227.71	136.32
cds140	7.5	21.9	42.74	21.13
cds141	7.79	20.38	38.77	18.26
cds142	0.94	1.88	9.21	3.91
cds143	42.43	125.97	169.9	114.78
cds144	18.69	46.6	62.94	32.21
cds145	9.47	27.27	68.04	47.83
cds146	35.2	150.6	258.49	153.85
cds147	10.55	39.79	89.38	42.58
cds148	48.44	193.08	408.08	167.69
cds149	87.59	273.74	470.14	278.64
cds15	59.17	288.51	514.86	338.81
cds150	40.98	131.11	210.58	171.29
cds151	12	34.93	80.78	27.85
cds152	16	114.32	157.76	92.7
cds153	32.75	141.34	208.54	87.67
cds154	9.35	25.75	46.38	28.31
cds155	62.29	218.94	333	189.83
cds157	2	0	7.47	4.16
cds158	9.21	26.93	22.54	11.76
cds159	5.34	12.4	17.9	5.22
cds16	3.05	19.49	11.84	16.31
cds160	28.61	105.24	164.39	102.79
cds161	120.35	222.73	328.19	203.43
cds162	14.15	33.32	101.16	61.77
cds163	5.34	15.31	50.34	28.75
cds164	34.27	88.96	233.75	124.64
cds165	54.35	170.17	364.89	170.91
cds166	57.82	255.97	412.46	209.86
cds169	16.5	35.56	50.23	28.46
cds17	26.26	46.04	121.11	72.78
cds172	4.48	4.21	11.53	3.73
cds173	105.58	322.24	818.15	512.18
cds174	53.94	180.88	365.04	187.43
cds175	4.19	17.4	48.85	19.19
cds176	17.15	63.78	101.3	47.28
cds177	42.17	58.73	147.44	94.15
cds178	37.45	77.69	194.03	135.81
cds18	11.33	24.99	45.38	18.63
cds180	1.97	1.82	5.75	2.86
cds181	58.96	255.1	566.72	286.55
cds182	24.39	72.56	146.25	80.35
cds183	101.33	336.4	303.51	204.54
cds184	70.96	426.09	250.53	180.13
cds185	124.99	385.33	624.58	306.24
cds186	0.5	0.5	14.29	2.46
cds187	22	76.2	116.58	47.64
cds188	60.9	161.74	147.51	100.3
cds189	23.51	59.33	101.39	43.13
cds19	14.61	65.5	107.6	46.28
cds190	16.67	54.51	105.65	55.12
cds191	94.92	282.07	636.31	311.55
cds192	13.79	55.57	183.91	87.15
cds194	38.58	177.18	149.65	130.14
cds196	14.89	36.71	109.2	44.82
cds197	10.67	50.17	104.13	46.06
cds198	13	27.67	77.39	30.76
cds199	212.64	386.18	925.65	403.93
cds2	65.97	309.86	394.27	229.94
cds200	44	112.92	213.53	159.66
cds201	4	25.39	40.54	24.54
