grote_wbm_L4_a	grote_wbm_L4_b	grote_wbm_30dpi_immaturemale_a	grote_wbm_30dpi_immaturemale_b	grote_wbm_30dpi_immaturefemale_a	grote_wbm_30dpi_immaturefemale_b	grote_wbm_42dpi_immaturemale_a	grote_wbm_42dpi_immaturemale_b	grote_wbm_42dpi_immaturefemale_a	grote_wbm_42dpi_immaturefemale_b	grote_wbm_120dpi_adultmale_a	grote_wbm_120dpi_adultmale_b	grote_wbm_120dpi_adultfemale_a	grote_wbm_120dpi_adultfemale_b
cds0	37.49	13.46	25.28	23.76	22.91	34.92	25.3	28	17.32	21.92	58.2	12.28	121.59	71.52
cds1	45.97	12.5	36.46	24.22	28.05	34.21	38.78	28.5	15.67	32.34	72.52	30.11	79.89	49.87
cds100	1.84	1	0	1	0.65	3	2	1	2	0	2	0.53	6.51	0
cds1000	36.61	6.65	25.24	13.3	20.96	22.87	17.28	20	10.48	28.99	13.89	15.32	39.87	27.39
cds1001	79.55	18.02	42.84	29.02	36.4	50.37	49.72	31.98	15.53	47.75	16.03	16.42	66.95	52.56
cds1002	104.71	20.2	107.32	73.34	56.98	96.04	64.27	95.19	44.97	95.88	93.48	47.6	189.35	97.8
cds1005	2.98	0	0	2.46	1	2	1	1	0	3.05	1.61	2.3	10.43	2.13
cds101	2	1	0	0.57	0.1	1	0	0	0	0.5	3	1	11.51	3
cds103	32.65	6.27	19.96	10.5	22.41	19	14.42	16.18	17.48	29.47	58.88	19.25	71.85	21.46
cds104	17.3	7.16	10.01	8	5.94	7.5	7.5	2.37	1.98	6.07	5.53	5.96	22.15	13.94
cds106	31.94	23.7	15.41	17.42	19.77	30.25	15.11	11.66	9.17	32.76	8.59	9.43	20.26	12.61
cds107	0	0.12	0	0	0	0	0	0	0	0	0	0	2.06	0
cds108	0	0	0	0.19	0	0	0	0	0	0	0	0	0	0
cds109	45.32	9.77	19.55	23.93	20.07	25.42	22.26	17.97	12.27	26.36	10.21	6.07	38.72	29.73
cds11	311.22	91.37	152.32	141.73	143.28	240.89	249.35	123.69	87.88	171.23	112.26	83.1	465.03	302.87
cds110	8.44	2.57	4.39	3.22	1.01	9.53	6.35	3.88	2.93	5.83	0.13	1.8	14.11	10.12
cds112	0.35	0	0.84	0	0	0.82	0	0	0	0	0	0	3.26	1
cds116	113.53	29.1	84.98	44.2	64.42	101.02	88.99	53.37	54.89	105.5	231.85	98.31	149.48	78.73
cds118	0	0.8	0	2	0	1	0.4	0	0.66	0	0.21	0.55	1.83	0.83
cds119	13.06	0	6.04	6	6.65	5.34	4	9.91	3.5	11.86	3.86	0	15.51	10.33
cds120	9.1	0	2.95	1.5	1	8.08	1.5	2	1	3.65	8.22	6.8	16.14	6.36
cds122	8	1	6.5	3.58	1.23	3	2	2.96	7	6.91	3.48	0	10.91	2.68
cds123	12	2.9	5.5	6.5	2.12	9.5	2.58	4	1	5.93	3.69	6.34	14.7	13.38
cds124	7.63	3.52	3.37	0.19	1.7	3.59	1.27	1.63	0	3.16	8.24	4.36	7.66	6.59
cds125	12.34	2.09	4.75	5.76	3.13	6.2	2.17	0	2	5.5	2.1	6	28.04	11.17
cds127	0	0	0	0	0	1	0	0	0	0	0	0	1	0
cds128	0.76	0	0.8	0	0	0	0	0	0	0	0	0.68	0.3	0
cds129	0	0.01	0	0.11	0	0.82	0	0	0	1.09	0	0	0	1
cds131	1.48	0	0.98	1	0	1.34	2	0	2.63	3.21	2.37	0	0.96	4.54
cds132	5.5	2	0	2	2	1.5	2.5	1	1	1.5	3.76	4	9	7
cds135	0	0	1.2	0	0	0	0	0	0	0	0	0.97	1.5	0
