grote_wbm_L4_a	grote_wbm_L4_b	grote_wbm_30dpi_immaturemale_a	grote_wbm_30dpi_immaturemale_b	grote_wbm_30dpi_immaturefemale_a	grote_wbm_30dpi_immaturefemale_b	grote_wbm_42dpi_immaturemale_a	grote_wbm_42dpi_immaturemale_b	grote_wbm_42dpi_immaturefemale_a	grote_wbm_42dpi_immaturefemale_b	grote_wbm_120dpi_adultmale_a	grote_wbm_120dpi_adultmale_b	grote_wbm_120dpi_adultfemale_a	grote_wbm_120dpi_adultfemale_b	invert	module
cds116	4605.92647920061	4160.9755589734	5494.62237439204	3994.51680121757	6295.43450067668	6302.83211135733	6166.45895639995	5113.93920310854	6798.28609880302	6568.70400574848	10932.8839375922	10028.3171107915	4381.04353781617	3795.95429250841	FALSE	lightcyan
cds28	20202.5395770397	15277.0474302812	33752.0277622921	35748.3807478333	32798.8087083163	36223.727208009	20520.2631017897	43074.508698015	26040.1651454639	52776.5376087819	53320.8502202209	61701.6025959192	22049.0876020731	22543.1413699968	FALSE	lightcyan
cds306	919.499967115506	1153.97883108694	1507.69883213301	1434.14037128512	2191.47964417377	2342.39672961703	1304.12209624169	2907.82190169964	2123.32942265603	2636.53393704973	4164.49377438415	4990.2685830143	2104.69970784533	2312.83870392855	FALSE	lightcyan
cds390	1470.44939789987	844.645604415194	2340.35585793066	3446.91840759298	2701.04320371337	2080.88731634716	1059.52537134354	2594.83427309367	2748.79948700644	2411.06592599394	3934.06012945401	5777.66504459937	2185.11517358505	2777.76272544142	FALSE	lightcyan
cds404	3869.4434466475	3919.08608632976	7423.47319966943	4940.27739679997	5541.16157372248	7201.17182313084	5714.20115078018	6693.38017240288	4333.81965884403	6179.87408616649	10443.7295300904	14531.7601641899	4045.0697458585	7045.15230815863	FALSE	lightcyan
cds534	2817.39898916105	3834.03847038008	10969.743113029	10561.7197079632	6192.6973170846	7303.60527300903	5917.12779310867	8111.43059834599	5327.83246504609	9852.7413481852	18624.7751363265	18772.3320410738	3610.83979461168	5659.53559458352	FALSE	lightcyan
cds562	3920.05645904177	4438.50562982896	4988.34305963424	5927.00343171373	5536.36962738638	6197.93979471496	4002.01111102156	6246.52470983527	3303.64593905885	7284.93687729571	9181.26848094618	7833.71508102626	3033.70204326781	2930.66921790617	FALSE	lightcyan
cds630	1286.57180257905	532.172788221938	1219.84475411662	1994.85477167093	3459.43708265749	1373.9918374817	830.735114938611	1102.73620148865	1486.94532866826	2023.61179116677	3162.24233854297	2062.69455298172	1494.94838485006	1071.70801495066	FALSE	lightcyan
cds738	503.990180034417	1127.4959096456	1031.74725991168	1580.19149111426	1444.26772908617	867.502496825479	169.738373551865	285.012981636657	554.75794955806	1169.28185974051	1510.40798740091	1423.0745286185	710.405191313332	704.127254970415	FALSE	lightcyan
cds798	775.186748130756	802.363328259791	2594.02341582288	1349.23576160385	2393.6161227688	1408.0831511921	1078.51592779574	1715.09477156314	2191.4838863535	1437.04206643451	3035.22122845718	3169.08783096255	666.247805069358	1185.88359947512	FALSE	lightcyan
cds811	10128.0616520383	8910.11192433548	15653.8761149474	12469.1583285066	13741.7419233698	12050.1681305403	8392.639104798	15579.1330067342	8377.82351387683	18155.1507207223	23480.5118431362	22172.2612877799	8079.97919094246	10630.4077532358	FALSE	lightcyan
cds836	435.624536767919	472.416203274305	534.052240417707	967.407838890911	476.233145511059	721.471247916057	343.40649634671	395.722714907358	511.491980329847	876.313376479491	1459.78816204879	1685.08951339891	436.71049696478	406.999838175559	FALSE	lightcyan
cds852	2985.78771944347	1964.68011160785	6419.3526411712	4178.94216652686	5365.5576032236	3669.4315298744	2148.01562084626	2413.29012915717	2275.31616723436	3678.27731965588	4821.97474958079	5871.62778962053	2087.28611533621	1925.74104472286	FALSE	lightcyan
cds951	1136.14828532401	698.564370582804	2187.01068104056	1932.53631903444	1899.28235828394	1555.70918807654	677.062701100718	1179.26782337803	1815.23023547845	3600.30132875669	3085.48979511866	5517.25388482554	1467.06351864331	1498.25890945938	FALSE	lightcyan
cds577	644.850306201367	402.546369229218	269.374937645382	353.459613244064	649.942778093033	591.189594946624	393.75650728816	254.820422225621	292.512001389265	453.795972534325	56.7982946307429	118.049438343878	604.567991761996	510.603526002412	TRUE	lightcyan
cds615	555.544056546289	590.62715862164	717.059512682569	566.058681592419	237.410294785492	447.483212150349	741.681555087436	666.243538781829	555.480290638214	645.158591340869	121.546046319338	230.065561797028	827.78806097463	609.893816651303	TRUE	lightcyan
cds106	2515.89054394654	6579.62268566814	1934.52447986425	3056.61402134422	3751.13009223511	3664.41136377773	2032.86982883892	2169.23885948931	2205.08842647291	3960.24079677896	786.45027528858	1867.63722997056	1152.88075200828	1180.44641351345	FALSE	green
cds221	11386.5632741159	11687.7191630434	8224.54605844822	9771.77427759229	10904.591482455	8149.84352555586	12242.8484418141	9499.48110688838	11448.6941829531	6509.05193670981	4014.06550174713	3492.814969035	5067.90906102905	4906.73124407888	FALSE	green
cds271	3965.00363703575	3475.75207707856	2966.01782136325	1787.64047884678	2459.55687108685	1935.91543746748	2433.48858236633	2656.91217375328	1893.52400959693	2230.90850641804	1138.25579056432	1190.51176694861	1513.52237542994	2127.07495827807	FALSE	green
cds291	5379.75483346995	3463.29995837683	2020.20902296519	1603.71576900954	781.498066403586	1476.96081046335	5035.05043332869	1800.39317644786	2789.45329381636	2022.48073463177	2290.93440298087	1348.14140732619	2239.03870810952	1554.22388671953	FALSE	green
cds432	4133.02369570679	3861.7110361875	3124.61481530312	3119.78170490816	2677.21019734129	2972.71586337539	3806.08123480165	2411.09224862619	2529.71976515758	1642.84714371874	587.777737759335	1075.42631587912	1924.50281505035	1653.18665048752	FALSE	green
cds440	1259.18637697946	1891.58433717373	1193.78276552116	1053.11555515834	1249.58861877719	1245.85474472653	982.158083230883	1168.00194478742	863.105191999933	1029.58161595563	443.986031950233	647.180879931581	692.950287615281	618.466326964477	FALSE	green
cds468	961.64507573837	1548.37602624527	498.754930178797	896.298212731649	763.517969395187	1053.76586244851	485.900504816471	492.7574248527	409.444931674359	1005.38337622085	233.661075088886	54.7053752838816	431.272938926606	331.538028649084	FALSE	green
cds604	1502.86439499378	1435.97339757537	676.480629462846	1018.23004416824	791.553053654193	717.482839059436	549.347740210537	901.685341459974	651.036685812864	633.465563694356	483.33782777979	281.261683670449	780.686308560487	522.009255992268	FALSE	green
cds877	1665.75084565347	1313.46315320667	886.24776397125	557.149099017611	1004.11438450116	643.635940384376	1035.23094237742	680.322139878738	1079.14613164079	521.390412417002	48.4513449245472	298.712517349425	659.804171302488	775.3062128755	FALSE	green
cds880	12017.4676680804	10779.3596058411	9833.67495621831	10183.0304294177	11292.8178436691	8385.25484919899	10969.8504465218	8941.1428526849	8883.15750847843	7877.1989166784	3685.82293302147	3132.04168236149	5344.08842064766	6670.24126293334	FALSE	green
cds952	2659.30293784737	7832.91341910523	2619.18728358335	4012.87666517802	5332.33091279774	5997.19456849704	4573.82183216911	2351.75819122312	3592.51582801443	4899.37255162744	758.8151067374	872.235909564694	1344.56209078104	1247.98862865761	FALSE	green
cds955	1246.72897142766	1269.70647084457	340.364279984524	992.246672571355	562.641453916647	646.362752207451	872.109702579975	971.344001658114	391.928414320188	785.86422043427	141.844480614117	552.316059824311	478.364643885588	379.405189211146	FALSE	green
cds192	368.805353789485	287.32302685702	748.88193224724	769.247673365404	510.559773732241	497.97308679607	683.388159087381	346.576506765638	201.087847148601	877.778764969364	1485.35803335904	578.026471390505	1127.68072134695	937.44293366869	TRUE	green
cds446	701.069687192587	401.489262167166	930.081147608131	715.281122709375	913.423448327892	991.938519970206	598.931711163348	782.466847207574	855.781960366996	1061.06322360729	1959.39376434204	1541.02498031536	1399.54407764411	1165.71630129557	TRUE	green
cds174	784.36026843453	1242.08518961834	570.207492725543	1654.17391463858	1588.85159246891	1077.167482318	912.546252967074	1098.94135908314	737.130243500947	580.258881276878	1383.42826647664	1517.77849299271	3178.16977029543	3186.37552734154	FALSE	black
cds208	451.801860754131	554.55651286153	492.213420179523	611.368757013732	568.512322762807	641.581660125108	537.487375999112	94.4982910108852	507.103069526424	491.91759030008	516.772647978002	974.346026162537	1216.24730774009	1227.20554269582	FALSE	black
cds423	11521.4433491031	27917.7033973526	10640.9523504704	18890.1402021921	14218.2596845364	10212.2714445449	19608.1569140813	13424.3015589676	18672.5367801478	7598.22567886716	5657.17903339013	8756.99327176999	52512.7027765337	37489.6470666795	FALSE	black
cds424	7251.86228017724	15943.7810728072	5764.0190461356	12614.3915165001	10523.8750244715	11300.7762085624	13372.5003421272	6905.196191423	7984.39909592496	4951.11495025352	5063.48034645698	11929.3664295645	32165.9333487875	32225.3914724756	FALSE	black
cds601	1585.83920830077	1787.84863178709	1553.45168395226	2099.29519418865	1694.07143546328	1755.36700819625	1561.58173673844	1283.60993584726	1363.11939742141	1561.12351500051	661.254472454486	1925.57091050969	3109.58783411637	4656.7053483065	FALSE	black
cds603	3637.04232410393	6552.87327093353	3358.59911947144	5660.11799386733	5200.28471538846	4426.20665930064	6804.32075232738	3512.81809612209	4964.96901286378	3243.25477282844	4711.0865333104	11853.3250125554	15925.0193987041	20186.5850979721	FALSE	black
cds649	1383.40363085726	934.506369318571	445.813969700385	980.460633047167	1208.70680556615	640.188866573945	722.329606286436	1180.4559955031	1104.88975842792	463.886970170549	517.746306157653	743.336262615521	3129.8723254776	2890.3373384895	FALSE	black
cds7	354.16089610399	234.178373728612	478.94556350948	558.087013330028	1179.80160408283	919.635005392842	823.548601146646	218.116792499138	714.587710569762	561.769758689245	282.6953370776	928.031295305076	974.747473457692	1605.70799770102	FALSE	black
cds902	2181.51711370198	4189.85930683981	1445.24928624953	1557.03597666538	2380.22329641072	1332.08105674114	1525.35596923214	1331.85292545901	1667.44173730318	1397.74818974326	2018.87325930765	5211.39891505711	6670.97202076259	7550.21187080998	FALSE	black
cds903	985.081857611988	1072.71271622167	682.284510963264	1304.3286397253	975.950693314142	683.147624284298	1135.99375694571	598.947428915596	713.071278525514	570.10740872305	516.313909435386	1520.09653353869	2927.31655650149	4311.52808290098	FALSE	black
cds975	1331.44015341109	1594.99678102555	1510.0120597611	1188.95617730358	1199.95685405426	1697.37311054482	2049.23324254169	1421.05609814092	1251.18849464643	800.261992119481	1299.39530093966	1825.94052885888	4462.95275641401	3414.9182038614	FALSE	black
cds189	11126.6716537565	8908.79523533415	11111.4642115188	10815.4479537673	10595.8040795802	8851.8853416638	10623.5947537738	11821.8401712782	13444.9375346558	10746.3841877552	12019.6885205194	8381.81428040697	3971.94733122182	5818.7536306719	TRUE	black
cds50	1276.84406246434	2071.17761653306	2133.75627730743	1737.39724225507	1004.29289372507	1005.99813116829	1439.57699103091	810.698072714801	3138.12075303761	1983.00376459163	1698.18733870876	1488.85771902747	394.022108647692	531.798962288447	TRUE	black
cds196	2535.22852765221	2396.41910027295	2346.20037659235	1424.54369875518	1509.21316595527	2565.84261423683	1910.96268759925	2132.54842997972	3093.1922980307	1740.55392748649	4695.67385339767	3675.80736559694	3882.77620363238	3349.32572546681	FALSE	brown
cds256	568.294040212679	1166.00908353613	156.419046197979	777.898325370801	885.446320878292	694.764318734541	878.981880548042	520.91499198714	224.436481065945	620.550552201831	1619.28799405557	1573.06680508089	1099.65628030484	1310.13013792693	FALSE	brown
cds349	1035.54446054059	1485.50874766891	1146.8545569648	457.995445802613	990.499274202835	1580.94789192259	817.048774678919	208.807450177896	1765.82058492901	1499.83913125392	3298.60862292497	3029.33397166388	1382.81263020091	2118.45379964098	FALSE	brown
cds73	1065.76397384147	1153.80584267395	997.861587972343	616.448570727027	1146.5163921848	909.397953628098	1096.85863110494	567.806795258578	1468.51111318148	1390.32605570447	2570.63490805068	1552.1295284905	1815.31475494351	1733.61135925422	FALSE	brown
cds276	4018.17353096661	2363.22440051568	4228.53585693191	3915.40970378169	3973.03613944702	2985.37034995347	3606.88303852714	3565.09690820416	2613.70919363101	3324.53213227433	1042.12523192059	1425.99112668218	2100.1341700947	1704.45885320161	TRUE	brown
cds458	1652.13555356183	1083.89576779415	3044.21812018159	3451.93102693454	2041.26554649801	3124.08663566935	2118.57624689839	2255.70865192178	3358.96063071371	1484.07723611086	252.1994865319	0	1936.55690519551	1825.37985910225	TRUE	brown
cds488	1302.07774384393	784.470943051828	1642.98313686768	1321.33787010594	1272.4432266273	1736.58665197388	1108.80741812253	1962.59104014727	1075.85377391703	1136.91692912574	236.713712960267	279.81761644514	1326.54844401362	1013.98608372673	TRUE	brown
cds808	1519.53848998744	1978.30574685952	2460.62831732623	3161.06288667184	1303.64942935466	3108.46161604245	1816.88452451744	3714.37047984677	1424.30843753388	2312.19338888457	333.712221847177	541.422251938229	1744.35530664206	2507.0603749005	TRUE	brown
cds377	2682.97407007036	2504.86186651408	2693.68829370152	1663.69090763514	855.966166900815	2859.73014323137	3370.26766770135	1965.07520212561	2953.84813374674	2070.44866593458	6981.66209872223	2766.54031393331	1647.14911335745	2140.95251968783	FALSE	midnightblue
cds531	1721.79125766894	1730.87570622696	2082.85336672615	2251.26504830118	1187.08836752416	1952.95291547729	1778.89190110913	1638.56704701733	3327.64489260441	2240.37553907049	5527.2266534122	2867.0112980969	974.757704154946	1270.37627245466	FALSE	midnightblue
cds555	160.314553348004	232.602546253132	330.870065795705	504.723086880976	312.792689300574	552.670131997874	300.742903654473	189.31932528167	448.625785390628	449.420752343529	1155.27642968548	732.271608146412	548.765341970431	549.341186961356	FALSE	midnightblue
cds714	1789.24401082485	2915.70062109819	2910.01960848722	2881.270651658	2128.62325127887	4308.04623925902	2364.59996843944	2890.01820409145	3980.9420829072	3492.76156736391	6834.90164932758	5208.07284915302	3355.00367835602	3133.01707223801	FALSE	midnightblue
cds810	8591.75187415254	7001.78897211939	9152.91998455957	7632.53164491085	6739.69805322951	9452.97987219775	7570.87472921222	6049.44557907689	9151.76544412139	9955.25853089691	18707.0523611025	11602.5457224169	6805.17374806643	8939.2485550585	FALSE	midnightblue
cds837	3166.57474193714	3125.5741601304	3923.52801299167	4094.31311932722	2556.89189625596	3702.27166011921	4575.06224881172	3263.27846397568	4332.1584571467	4547.32690361777	7378.01589264668	3427.63255496894	2105.96424744389	2470.70110460787	FALSE	midnightblue
cds457	1895.68409060934	1769.90079589509	1342.63256322462	1275.02145534927	1329.55516994952	1263.35631151975	1854.60294936205	1641.61283879845	1023.4833701523	1182.13047860141	447.126751023084	697.960427633953	1455.25307973417	1012.04537302857	TRUE	midnightblue
cds155	3239.3863061929	5312.62888686148	1953.04118075847	2233.89880937076	2639.73684411841	3014.50832355731	3041.90515089662	926.251970127134	1946.28510924374	1326.42680533141	584.802227404634	1258.12995794146	2232.63950172976	2467.96146980692	FALSE	yellow
cds313	766.189380848652	499.706314504051	320.146059934162	630.507063721597	588.140690829543	537.333110001657	841.150242832147	367.311853324266	394.058667717707	437.567697065394	30.1267978056479	195.513590977694	670.913643051267	481.465348735428	FALSE	yellow
cds382	1175.20863034118	1461.07713143403	1246.86989408202	2689.77784064718	2710.19684435435	2097.42471287187	3473.73523991816	1351.03365352995	1043.01192187114	1417.5879586996	711.434656437961	693.947688783947	3018.50068669645	2071.17679189051	FALSE	yellow
cds679	1958.59671460366	1853.77225390314	911.20410488382	958.849246681973	1718.9418458988	1423.62381482765	2100.6980240504	844.736913177896	303.778283942773	920.208596198668	280.885316416096	856.386187280608	1260.47163394796	1505.93362487833	FALSE	yellow
cds365	344.085386697086	102.773236529627	866.253274428306	427.411038388198	526.797991387926	538.130340135191	513.987069435854	842.98070337919	859.926219161081	1199.33327877469	1538.04834497284	668.656481143713	361.484450993712	343.771803703607	TRUE	yellow
cds471	10542.4793488355	11217.6053369937	13235.4577552136	11392.5886728597	12572.6566439172	11309.2167724411	9550.95915918576	14196.9370508495	17588.9143776911	18561.8386852316	25779.1174503209	13545.8925414473	6082.80510373145	8599.33573487322	TRUE	yellow
cds556	407.307579699965	721.25087619816	1127.74031434872	659.066617130589	633.094119427979	756.065836150917	854.021245264187	1128.54327227458	1279.56164510158	1626.29650814846	2116.04749387299	1542.3638016055	616.990459838492	908.926157628616	TRUE	yellow
cds304	5388.65008350449	5629.93824822889	9090.19307413085	9215.9264448359	10458.3484009085	13884.8757403278	7774.70041019404	16234.2383616666	8445.25590387251	15664.9078009286	13736.3880307669	9004.07838686778	6466.01289798294	5366.83671831118	FALSE	red
cds536	1140.57905686743	749.57726798751	2470.5672786326	1675.69827232131	2134.55809497445	2169.5738024879	1837.78966657443	2790.61602850254	1096.53252177933	2582.13502500606	2739.30060961983	2784.6213630314	639.035086132923	564.479926525466	FALSE	red
cds597	5199.99433879499	6334.99347308196	13134.9993411827	9057.32553777663	12187.4154264093	11381.9851482735	5867.47759473719	11186.7034897487	7789.01685544981	14240.4764686814	12827.4754749106	10554.8133778265	4184.54727728972	5771.28024464211	FALSE	red
cds780	7128.76565290404	2058.14161489284	16432.7874376528	10720.71479112	8426.15429077668	11405.6934169305	3965.49317172829	22440.5332827204	14761.1351651767	15728.7917870878	17135.6181431451	10561.5532480611	4807.56487607706	7570.20069461041	FALSE	red
cds942	2244.59955090668	1475.16467260601	3434.13528221088	3700.53327911629	4391.88134287853	3971.70315364511	1591.08181409127	4157.57763261187	3250.90246429489	2195.61206828663	4254.55698073587	2686.80448108156	1816.20223816411	1311.76751297491	FALSE	red
cds958	1266.98759699559	1743.43844525996	356.545532639526	738.114094795862	359.258958061274	592.531494739021	983.296650563902	410.967770317724	696.626921865956	503.561513671977	405.644985404768	1063.12918949748	1236.01464291591	1008.54575568307	TRUE	red
cds413	1193.11599325186	585.144007976386	465.339003533004	502.347281675958	625.823711563887	681.948927452055	847.58967052847	715.421782573164	698.635761703441	422.481581119562	1071.7380923596	1585.80274629	1319.53198943372	1301.06838877553	FALSE	greenyellow
cds586	707.392294794756	415.532394780693	584.573813053334	289.476862331915	620.367023822266	598.738770956464	372.76045841384	216.579127338066	679.853487462177	160.833836423801	1059.42999215588	1416.3122767585	1032.28546146722	980.802296499875	FALSE	greenyellow
cds634	2976.50963549122	2683.42779526286	1559.60365953343	1253.33353198258	2047.64609646831	1775.85793279962	1723.89469595856	1154.15648547642	1486.06527366261	1525.88089270094	2235.12814789716	4234.55157091502	2696.00430571209	3314.61695603993	FALSE	greenyellow
cds992	404.348928999965	570.048885284328	323.68448532654	197.644663240076	278.283129418892	521.989846631707	355.180433364311	109.14409355921	352.685898817913	177.300157771952	563.973654921729	1074.76614011738	1018.20728476151	735.365380899378	FALSE	greenyellow
cds757	4598.72940469961	8317.84745417925	7707.92822517929	10933.9151781965	7297.80538417543	8405.45007813115	5043.27338919325	10370.0199136562	9890.25883331454	11996.3016506139	5832.31291919057	2087.89440667496	3481.79258340729	3040.30232480803	TRUE	greenyellow
cds293	2336.93272183229	720.20371784345	2289.42972874183	2804.46359573329	3652.00519462313	3191.97867874764	2734.62790020345	2506.22555214255	1927.53413155216	1501.06676160367	656.486683489332	1111.28198177795	2189.43263693353	1971.88654026304	FALSE	purple
