chung_wbm_vector18hpi_a	chung_wbm_vector18hpi_b	chung_wbm_vector4dpi_a	chung_wbm_vector4dpi_b	chung_wbm_vector8dpi_a	chung_wbm_vector8dpi_b	chung_wbm_mammal1dpi_a	chung_wbm_mammal1dpi_b	chung_wbm_mammal2dpi_a	chung_wbm_mammal2dpi_b	chung_wbm_mammal3dpi_a	chung_wbm_mammal3dpi_b	chung_wbm_mammal4dpi_a	chung_wbm_mammal4dpi_b	chung_wbm_mammal8dpi_a	chung_wbm_mammal8dpi_b	chung_wbm_mammal20dpi_immaturemale_a	chung_wbm_mammal20dpi_immaturemale_b	chung_wbm_mammal24dpi_immaturefemale_a	chung_wbm_mammal24dpi_immaturefemale_b	chung_wbm_adultmale_a	chung_wbm_adultmale_b	chung_wbm_adultfemale_a	chung_wbm_adultfemale_b	chung_wbm_adultfemale_c	chung_wbm_adultfemale_d	chung_wbm_embryo_a	chung_wbm_embryo_b	chung_wbm_immatureMF_a	chung_wbm_immatureMF_b	chung_wbm_matureMF_a	chung_wbm_matureMF_b
cds0	2257.96431688639	4043.23373767499	1602.29613042384	2020.78873361086	2049.87256779066	1921.07443639881	689.521102567647	449.67291557709	1589.69460318933	711.57631286077	1933.34045559395	2100.85728463834	2065.34616803271	2021.98416399698	2264.54985469211	1955.07058597957	2391.89710465567	3086.00048188243	3305.7477748017	2769.53721863587	1851.23798316954	1795.23242198157	3272.14800428192	2329.67936524059	3049.4479645981	2714.19088309658	3274.39696065921	4127.60359193899	1456.35049628379	2068.0671361209	2725.2261408641	2544.72916465572
cds1	2195.24711417484	1790.50314860242	1563.56893393165	1602.52257964152	1624.51033540171	1905.41151094892	2088.69598101608	2079.61702154083	2732.5877913437	2276.07386882846	1807.27017710235	1806.99383180951	1656.06533863207	1719.55624867149	1394.0972839933	1385.61081834564	1588.90124292423	1375.0306255067	1535.05156035096	1637.85743505514	1788.72808936737	1902.32805176084	1282.68601765366	1395.89049908636	1831.17977458261	1513.12357759704	2572.42660949687	1343.34189062068	2022.46090151384	1671.04224200081	2275.11155393808	1360.95071215802
cds100	2.89229089011755	125.762617077024	527.407024139277	343.06597436383	195.398474945936	342.113798093617	261.55145403492	250.699576069871	159.327907914901	297.675890192484	194.820536911776	194.163415571562	122.918969445547	244.356771559209	184.345342114442	208.396560649138	311.194848880924	225.463177937852	199.10329478262	322.941157413405	252.655612878041	677.127457840376	157.335711651483	84.3987501807704	271.508014862481	253.041603212718	152.451898837469	795.715950199426	485.923193732634	417.310393530973	416.771468985023	213.886307969189
cds1000	1524.45334268273	2177.26372765217	2500.27793547335	2301.5953617072	2551.90639444082	2610.85297452097	2492.79973633213	2358.36067162427	3039.56581389078	2659.11126545289	2217.24516073709	2581.01463312226	1619.29090882031	2264.11827585596	2218.01864015058	2150.68327506194	1640.22026818024	2061.29288561446	1737.70084560938	1801.13046688688	689.330898147039	758.314690269753	1064.53875301852	563.514200021313	1000.16615710009	1252.21405218145	1153.90039851665	2790.71539828744	1703.3669518647	1274.85631766569	2591.0351741697	1912.85264120082
cds1001	1832.71832694212	3137.74203727304	3214.78929050471	3712.14400854776	3821.16987759124	3661.3694672742	1675.57487676626	1382.28053935183	2402.5359831959	2097.06730683231	2111.40964858485	2926.92131664057	2158.68384337868	2643.62871122516	1758.25863020996	2699.60854785706	3414.51926730475	4007.92853202131	3275.35221770442	2900.37949360567	1625.1458648535	1852.04056514175	2551.25648959741	2437.81605421306	2042.60431758548	2548.10088450517	4352.31518242763	4874.33901145837	1766.77726564122	2608.89590220432	2123.26638870117	2593.99767174807
cds1002	3557.08489321172	3672.68499230224	3738.92253186648	4014.72452559799	4348.38846457553	4461.5657000448	1917.27605336296	1658.19102564263	2745.67999097588	1850.52011237469	3539.67886142904	4110.2768777595	3344.22017777417	3916.15680190208	3667.00589819528	4115.89135602772	5452.35731805155	5406.0622275199	5022.34313377476	4552.63419469959	2819.5705277371	3181.3504616193	4177.92914644241	5321.47136757138	3488.25748403845	4709.24620381412	7180.75476611486	6129.19197681083	2259.8141382064	3737.74668328953	1609.14329051915	3156.1246924375
cds1005	25.7239501093264	12.0251843197972	30.7247567899795	127.788684934493	180.714641886807	117.060712428643	169.333868557873	128.484679472503	137.791433133012	106.447217515112	157.728850217025	153.929243940736	105.556943360479	68.056240986001	137.832898240445	137.119799288941	85.8414251815285	85.2816733446194	85.393325824626	100.776747933438	91.4947715753201	163.022212555211	134.834108818077	66.3664962030722	0	107.240171500328	110.415529672726	28.9440893288714	240.577003392808	116.819905123214	284.774618759344	213.845555017834
cds101	0	6.74545807351018	88.7231988839384	82.1656633364498	247.222486053363	120.688397203396	144.513136255695	165.839293539107	80.1604051383875	106.03565827663	61.3995981938408	44.6226406175949	73.0762941439643	44.7757380118215	121.91357258203	30.4549930401047	23.4896883309196	18.0478461292348	53.2535813952331	60.7401236808878	0	0	59.7004868120431	119.357887908197	0	43.0071190539549	0	0	172.966675665174	128.269520958241	140.621271644606	39.4044736157169
cds103	1169.16504174305	1334.41294227374	1486.78376439639	1614.08894457673	924.14784653911	1094.2175277377	1408.84826898844	1170.37203579894	1293.72372641784	1330.11597858681	1104.94561328772	1372.11125741182	1291.26442670616	1146.18619686132	1058.11734664778	1279.12300986527	1323.62098775182	1056.47462709296	1027.23893311773	1196.49452375873	845.214300105167	1039.80082474286	995.49963294661	623.154499436106	1009.54484125487	996.910051928142	776.71613976676	1095.45430499043	1473.41596394621	1426.52179491371	1475.89540555533	1075.1672303068
cds104	757.643582229524	273.626267407668	449.135737451469	406.834229861081	574.617217871717	364.609207050302	626.967557369905	527.864187589557	546.742995078916	649.405274514374	487.271847010926	538.330831787273	459.337506682072	473.673642328955	437.613826917261	466.236299600899	419.11575937021	291.680968617367	339.557872654028	354.423769146089	133.058516755466	333.531679330905	390.114049750036	136.302083956762	570.210815821767	273.253766570753	145.438373225091	453.686335785428	502.1836377302	599.725607107971	869.864119102463	602.766345229882
