darby_wmel_doxy_a	darby_wmel_doxy_b	darby_wmel_doxy_c	darby_wmel_nodoxy_c	darby_wmel_nodoxy_a	darby_wmel_nodoxy_b
cds1031	524.535087849581	821.283065033422	686.603327762993	353.726579096425	301.563393517178	371.417165772103
cds1034	100.236720895195	40.4917953421022	168.591957635006	361.393405504965	279.618988230114	176.092145512291
cds1067	1061.38908223838	1826.9289405147	1127.57532845022	789.899673683166	632.738777392054	360.276793713375
cds1076	1655.5029352576	1968.54716832398	1720.01151597759	1113.44089773781	869.891325785351	582.003593751179
cds109	1068.29582775802	918.978538021646	620.864761989075	240.44325562524	352.004422178944	329.684907879533
cds1092	1600.65489454744	1164.6721314075	1449.85566848076	335.531053317563	928.828058971982	382.276921794002
cds11	2417.55345821639	1970.92490788123	2548.6690296587	1177.52824621003	1288.08040960394	1135.99322539934
cds1116	165.64369423179	116.562675875681	221.752401374887	296.14353020766	344.267876260042	433.034101345943
cds1142	69.370608489299	22.5905153618131	67.5387031052295	148.976068614976	184.419028886636	132.776907880829
cds1160	75.5650847493991	64.4228374056065	34.2441800645698	217.73278569938	269.254625797664	324.201865388901
cds1184	518.571096009119	282.262953739983	728.539489235939	1572.76682317528	1510.81922718595	1159.85585090756
cds1188	982.21493348785	1188.3607018625	827.222809133418	247.652312672204	395.995511245722	666.057033675517
cds12	1414.63687827985	948.577125800228	1615.82678792457	922.448787590697	627.267901890455	740.707053418549
cds1220	131.710251516706	109.775992238647	178.708060325301	359.059265811932	307.649043794253	365.95363434585
cds1225	957.845705804651	1266.07865325164	1248.34624802336	568.180660975131	608.995993968007	576.352806319667
cds131	93.3011449847732	55.9962215424259	150.198194716668	255.304899957782	251.720564818314	309.351592914227
cds136	19651.0538348554	24939.2491740461	13538.2245307603	7263.13532594115	8179.32459070782	5046.83245317989
cds141	1268.21157412735	1284.62193415431	1340.75878215659	358.210637598331	358.166394253303	745.608856287013
cds145	9134.1445482769	9321.54903791584	8588.99429494508	5031.53311314503	3228.59157371084	4776.64458811779
cds15	522.150773067327	259.413139644903	697.04373884854	266.77736415062	140.561146938859	231.825474846444
cds151	731.767127428148	562.877880752847	614.56739829166	217.601859635765	310.168055707781	408.589773713253
