luck_wdi_L3_a	luck_wdi_L4_a	luck_wdi_adultmale_a	luck_wdi_adultfemale_a	luck_wdi_MF_a
fig|82301.12.peg.1	3.5	0	10	25	36.7
fig|82301.12.peg.10	0	0.24	3.5	24.64	19.23
fig|82301.12.peg.100	0	0	2.36	1.5	2.44
fig|82301.12.peg.101	0	0	0	0	10.61
fig|82301.12.peg.102	0.5	0	7.24	20.56	32.49
fig|82301.12.peg.103	0	1.5	5.18	33.36	31.92
fig|82301.12.peg.104	0	0	1	5.08	27.14
fig|82301.12.peg.105	0.35	0	2.51	10.08	32.33
fig|82301.12.peg.106	0.09	0	2.31	13.97	15.6
fig|82301.12.peg.107	0.5	0	4	15.74	29.99
fig|82301.12.peg.108	1.68	0.81	10.48	27.38	32.89
fig|82301.12.peg.109	3.73	2.42	12.96	33.78	19.64
fig|82301.12.peg.11	0.14	2.5	2.16	13.16	39.37
fig|82301.12.peg.110	0.96	1	5.45	11.06	14.93
fig|82301.12.peg.111	0.5	1	6.14	22.48	22.93
fig|82301.12.peg.112	0	6.5	5	21	62.17
fig|82301.12.peg.113	0.5	0	0	0.63	5.03
fig|82301.12.peg.114	0.5	2.06	3.99	7.87	31.83
fig|82301.12.peg.115	0.5	0	1.5	4.59	14
fig|82301.12.peg.116	1.5	2	13.5	33	77
fig|82301.12.peg.117	2.14	4	15.5	44.16	46.87
fig|82301.12.peg.118	1	1	8.93	16.64	34.86
fig|82301.12.peg.119	1.5	16.85	6.5	13.18	73.71
fig|82301.12.peg.12	0	0	3.67	12.28	46.6
fig|82301.12.peg.120	1.5	0	8	22.88	84.76
fig|82301.12.peg.121	1	1	3.14	12.13	42.44
fig|82301.12.peg.122	1.41	0	22.39	34.3	4.24
fig|82301.12.peg.123	1.5	3.77	18.28	59.95	20
fig|82301.12.peg.124	5.5	9.87	34.64	100.32	27.79
fig|82301.12.peg.125	2	0	1.86	10.98	18.15
fig|82301.12.peg.126	0	0	2.5	5.5	9.37
fig|82301.12.peg.127	0	3	3.83	15.27	52.92
fig|82301.12.peg.128	0.22	0.96	1.33	1.78	10.09
fig|82301.12.peg.129	2	0	8.89	23.82	61.89
fig|82301.12.peg.13	2	4	7.97	28.4	48.03
fig|82301.12.peg.130	1.5	1	2.5	18.68	86.49
fig|82301.12.peg.131	0	5	1.5	9.96	41.39
fig|82301.12.peg.132	0	0	0	0.37	0.78
fig|82301.12.peg.133	4	3.5	39.71	97.98	179.99
fig|82301.12.peg.134	1	0	3.99	14.94	11.34
