luck_wdi_adultfemale_bodywall_a	luck_wdi_adultfemale_bodywall_b	luck_wdi_adultfemale_head_a	luck_wdi_adultfemale_head_b	luck_wdi_adultfemale_intestine_a	luck_wdi_adultfemale_intestine_b	luck_wdi_adultfemale_uterus_a	luck_wdi_adultfemale_uterus_b	luck_wdi_adultmale_bodywall_a	luck_wdi_adultmale_bodywall_b	luck_wdi_adultmale_intestine_a	luck_wdi_adultmale_testis_a
fig|82301.12.peg.1	0	0	0.5	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.10	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.100	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.101	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.102	1	0.5	0	0.5	0	0	0	0	1	0.5	0	0
fig|82301.12.peg.103	0.5	0	0	0.27	0	0	0	0.5	0	0	0	0
fig|82301.12.peg.104	0	0	0	0.07	0	0	0	0	0	0	0	0
fig|82301.12.peg.105	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.106	0.26	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.107	0	0	0	0	0	0	0	0	0	0.5	0	0
fig|82301.12.peg.108	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.109	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.11	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.110	0	1	1	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.111	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.112	0	0	0	0.5	0	0	0	0	0	3	0	0
fig|82301.12.peg.113	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.114	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.115	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.116	0	0	0	0	0	0	0	0	0.5	0.5	0	0
fig|82301.12.peg.117	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.118	0.5	0	0	0	0	0	0	0	0.5	1	0	0
fig|82301.12.peg.119	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.12	0	0	0.5	0	0	0	0	0	1	0.5	0	0
fig|82301.12.peg.120	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.121	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.122	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.123	1.5	6.5	3.5	5	0	0	0	1	3	0.5	0	0
fig|82301.12.peg.124	6.5	16	3	7	0	0	0.5	6	16	11.5	0	0
fig|82301.12.peg.125	0	0	0	0	0	0	0	0	0.5	0.5	0	0
fig|82301.12.peg.126	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.127	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.128	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.129	0	0	0	0	0	0	0	0	0.5	0	0	0
fig|82301.12.peg.13	1	0.5	0.5	1	0	0	0	0.5	2.5	1	0	0
fig|82301.12.peg.130	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.131	0.5	0	0.5	1	0	0	0	0.5	1.5	5.5	0	0
fig|82301.12.peg.132	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.133	0	0	0	0	0	0	0	0	1	0.5	0	0
fig|82301.12.peg.134	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.135	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.136	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.137	0	0	0	0.62	0	0	0	0	1.38	0.91	0	0
fig|82301.12.peg.138	1	0	1	0	0	0	0	0	1	1	0	0
fig|82301.12.peg.139	1.5	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.14	0	0	0	0	0	0	0	0	1	0.5	0	0
fig|82301.12.peg.140	0	0	0	0	0	0	0	0	4	2.5	0	0
fig|82301.12.peg.141	0.5	1	1	0	0	0	0	0	0.38	0	0	0
fig|82301.12.peg.142	0	0	0	0	0	0	0	0	0.03	0	0	0
fig|82301.12.peg.143	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.144	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.145	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.146	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.147	0	0	0	0	0	0	0	0	1	0	0	0
fig|82301.12.peg.148	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.149	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.15	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.150	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.151	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.152	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.153	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.154	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.155	0	0	0	0	0	0	0	0	1	0.5	0	0
fig|82301.12.peg.156	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.157	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.158	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.159	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.16	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.160	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.161	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.162	3	1	1.5	1.5	0	0	0	0	3	2.5	0	0
fig|82301.12.peg.163	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.164	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.165	0	0	0.5	0	0	0	0	0	2	0.5	0	0
fig|82301.12.peg.166	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.167	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.168	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.169	0	0	0	0	0	0	0	0	0.5	0	0	0
fig|82301.12.peg.17	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.170	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.171	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.172	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.173	0.93	1	0	0	0	0	0	0	0.5	0.5	0	0
fig|82301.12.peg.174	0	0	0	0	0	0	0	0	2.5	0.5	0	0
fig|82301.12.peg.175	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.176	0.5	0	0	1.5	0	0	0	0.5	1	0.5	0	0
fig|82301.12.peg.177	0	0.5	0.5	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.178	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.179	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.18	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.180	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.181	0.5	0.5	1	0	0	0	0	0	1.5	0	0	0
fig|82301.12.peg.182	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.183	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.184	1	0	1	1	0	0	0	0	3	1	0	0
fig|82301.12.peg.185	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.186	0	0	0	0	0	0	0	0	0	0.5	0	0
fig|82301.12.peg.187	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.188	0.31	0.5	0	0	0	0	0	0	0.5	0.17	0	0
fig|82301.12.peg.189	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.19	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.190	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.191	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.192	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.193	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.194	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.195	0	0.5	0.5	0	0	0	0	0.5	3.5	1	0	0
fig|82301.12.peg.196	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.197	0.5	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.198	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.199	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.2	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.20	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.200	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.201	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.202	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.203	0	0	0	0	0	0	0	0	0	0.5	0	0
fig|82301.12.peg.204	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.205	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.206	0	0.5	0	0.5	0	0	0	0	1	1	0	0
fig|82301.12.peg.207	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.208	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.209	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.21	0.5	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.210	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.211	0.5	0	0.5	0.5	0	0	0	0.5	0.5	1	0	0
fig|82301.12.peg.212	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.213	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.214	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.215	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.216	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.217	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.218	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.219	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.22	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.220	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.221	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.222	0	0	0	0	0	0	0	0	1.5	1	0	0
fig|82301.12.peg.223	1	0	0.5	0	0	0	0	0	0	0.5	0	0
fig|82301.12.peg.224	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.225	0	0.5	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.226	1.5	2	0	0.5	0	0	0	0	1.5	3	0	0
fig|82301.12.peg.227	0.5	0.5	0	0	0	0	0	0	0.5	0	0	0
fig|82301.12.peg.228	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.229	1.5	3.5	1	0	0	0	0	0.5	0.5	0.5	0	0
fig|82301.12.peg.23	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.230	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.231	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.232	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.233	0	0	0	0	0	0	0	0	0	0.5	0	0
fig|82301.12.peg.234	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.235	0.09	0	0.04	0	0	0	0	0	0.06	0.08	0	0
fig|82301.12.peg.236	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.237	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.238	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.239	0.44	0.1	0.28	0.07	0	0	0.36	0	1.37	0.32	0	0
fig|82301.12.peg.24	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.240	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.241	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.242	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.243	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.244	1.65	3.36	0.47	1.68	0	0	0	0.72	0.35	0.5	0	0
