gutzwiller_wmel_embryo0to2hr_a	gutzwiller_wmel_embryo0to2hr_b	gutzwiller_wmel_embryo2to4hr_a	gutzwiller_wmel_embryo2to4hr_b	gutzwiller_wmel_embryo10to12hr_a	gutzwiller_wmel_embryo10to12hr_b	gutzwiller_wmel_embryo12to14hr_a	gutzwiller_wmel_embryo12to14hr_b	gutzwiller_wmel_embryo18to20hr_a	gutzwiller_wmel_embryo18to20hr_b	gutzwiller_wmel_embryo22to24hr_a	gutzwiller_wmel_embryo22to24hr_b	gutzwiller_wmel_L1_a	gutzwiller_wmel_L1_b	gutzwiller_wmel_L2_a	gutzwiller_wmel_L2_b	gutzwiller_wmel_L3_12hrpostmolt_a	gutzwiller_wmel_L3_12hrpostmolt_b	gutzwiller_wmel_L3_darkbluegutPS_1to2_a	gutzwiller_wmel_L3_darkbluegutPS_1to2_b	gutzwiller_wmel_L3_lightbluegutPS_3to6_a	gutzwiller_wmel_L3_lightbluegutPS_3to6_b	gutzwiller_wmel_L3_cleargutPS_7to9_a	gutzwiller_wmel_L3_cleargutPS_7to9_b	gutzwiller_wmel_WPP_a	gutzwiller_wmel_WPP_b	gutzwiller_wmel_pupae_12hrpostWPP_a	gutzwiller_wmel_pupae_12hrpostWPP_b	gutzwiller_wmel_pupae_24hrpostWPP_a	gutzwiller_wmel_pupae_24hrpostWPP_b	gutzwiller_wmel_pupae_2dayspostWPP_a	gutzwiller_wmel_pupae_2dayspostWPP_b	gutzwiller_wmel_pupae_3dayspostWPP_a	gutzwiller_wmel_pupae_3dayspostWPP_b	gutzwiller_wmel_pupae_4dayspostWPP_a	gutzwiller_wmel_pupae_4dayspostWPP_b	gutzwiller_wmel_adultfemale_1dayposteclosion_a	gutzwiller_wmel_adultfemale_1dayposteclosion_b	gutzwiller_wmel_adultfemale_5dayposteclosion_a	gutzwiller_wmel_adultfemale_5dayposteclosion_b	gutzwiller_wmel_adultfemale_5dayposteclosion_c	gutzwiller_wmel_adultfemale_5dayposteclosion_d	gutzwiller_wmel_adultfemale_5dayposteclosion_f	gutzwiller_wmel_adultfemale_30dayposteclosion_a	gutzwiller_wmel_adultfemale_30dayposteclosion_b	gutzwiller_wmel_adultmale_1dayposteclosion_a	gutzwiller_wmel_adultmale_1dayposteclosion_b	gutzwiller_wmel_adultmale_5dayposteclosion_a	gutzwiller_wmel_adultmale_5dayposteclosion_b	gutzwiller_wmel_adultmale_5dayposteclosion_c	gutzwiller_wmel_adultmale_5dayposteclosion_d	gutzwiller_wmel_adultmale_5dayposteclosion_i	gutzwiller_wmel_adultmale_5dayposteclosion_j	gutzwiller_wmel_adultmale_30dayposteclosion_a	gutzwiller_wmel_adultmale_30dayposteclosion_b
cds0	180.47	139.85	153.45	69.18	373.56	300.25	265.96	67.37	323.32	252.84	260.1	24.28	189.59	172.8	80.16	88.03	142.11	83.8	171.99	137.64	204.24	141.86	307.62	106.49	263.75	156.83	206.64	116.66	152.35	59.13	141.15	73.9	251.13	107.6	149.51	110.43	356.71	211.76	350.9	153.98	155.64	231.27	344.7	539.15	462.54	365.66	185.25	650.07	177.93	496.88	302.71	167.52	157.27	576.34	598.36
cds1	44.81	28.6	27.08	13.98	43.67	29.01	34.62	12.27	51.11	24.16	56.71	6	50.09	51.32	19.32	15.82	27.18	11.99	39.88	30.05	42.29	31.55	68.5	23.69	45.21	39.09	29.11	31.04	29.68	12	21.89	17.27	47.69	11.51	18.8	19.73	55.19	37.23	50.75	29.23	34.67	51.76	63.69	77.87	40.88	50.46	44.32	81.11	39.18	82.05	64.63	27.64	23.48	60.33	69.74
cds10	284.46	201.94	295.46	140.7	399.77	293.99	357.89	98.44	473.21	414.36	512.84	56.73	438.94	368.71	132.6	118.67	191.52	137.78	399.24	273.39	398.69	276.31	664.85	215.73	477.48	336.96	403.34	268.91	295.13	138.1	244.69	150.57	452.64	184.5	243.57	281.55	622.54	386.48	610.17	297.9	291.96	464.86	538.89	861.34	631.08	545.55	361.26	1010.84	372.26	903.15	583.81	215.8	225.29	745.33	788.22
cds100	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46	0	0	0	0
cds1000	2.02	1.74	1.61	1.48	3.59	3.26	1.58	0.98	3.21	1.65	3.19	0.42	2.03	1	1.1	0.86	3.46	0.15	1.04	1.42	2.77	1.75	3.34	0.44	4.7	3.03	1.05	1.68	0.45	0.49	1.37	2.8	6.52	1.34	0.56	1.11	4.75	2.35	4.8	0.5	1.71	1.42	4.34	7.48	7.16	4.07	2.44	7.41	3.31	8.59	1.67	0.5	0.22	11.08	4.88
cds1002	135.8	134.34	124.06	67.04	236.35	215	177.06	43.29	186.93	186.68	195.86	26.64	140.1	151.3	60.07	72.08	81.81	42.02	117.2	95.79	128.42	132.27	256.08	67.01	167.22	156.21	154.5	89.44	91.94	49.74	98.55	67.41	219.84	77.57	103.41	102.46	248.11	163.41	235	126.35	116.59	212.39	189.43	345.94	248.25	199.85	144.99	410.48	129.33	338.71	232.4	105.2	84.56	292.87	343.31
cds1003	418.46	276.64	326.56	177.74	723.79	423.11	404.24	128.31	584.34	453.74	606.67	84.74	462.71	409.14	190.56	150.93	236.02	138.26	371.49	304.04	437.97	369.88	705.11	210.6	532.64	336.23	495.84	269.94	372.25	126.41	294.85	160.81	607.46	190.85	308.91	274.14	761.03	398.58	729.91	342.89	286.72	525.56	580.91	1040.03	616.95	685.78	398.92	1174.46	366.51	871.31	635.89	238.72	268.52	820.25	841.85
cds1004	4.86	1.55	7.21	0	5.65	6.12	7.21	0	9.57	4.78	8.14	0.5	3.44	6.03	0.46	0.1	1.14	0	2.11	7.5	6.59	5.42	3.44	3.76	8.97	5.24	4.64	3.37	7.42	0	5.24	2.32	5.79	5.06	2.63	1.65	16.9	5.46	14.66	4.82	2.75	10.56	14.12	11.48	16.74	10.02	4.92	15.6	6.28	14.8	8.64	5.36	2.54	10.2	22.8
cds1005	90.48	53.78	76.25	31.46	136.45	64.41	90.15	34.09	113.75	98.69	104.78	14	107.72	98.07	39.61	30.07	47.5	28.5	103.15	78.61	126.15	84.35	168.81	55.38	155.62	82.23	87.24	65.92	70.3	28.2	79.31	35.6	121.66	61.5	71.04	63.8	151.01	113.17	172.44	70.95	74.73	137.86	172.06	267.23	165.26	148.73	126.71	273.89	103.41	223.97	182	59.13	64.48	259.74	271.11
cds1006	4.6	5.09	2.26	0.39	9	4.73	5.5	0	4.18	2.38	7.96	0.22	7.45	5.98	0	2.04	3.82	0	3.32	2.36	6.82	3.43	11.16	3.54	5.54	3.68	7.95	1.92	1.34	1.41	4.76	2.78	8.63	1.77	1.78	3.6	2.57	5.23	6.79	2.88	5.92	8.95	8.03	15.98	9.88	10.14	3.67	7.43	3.23	10.16	14.36	6.25	5.63	12.54	7.62
