gutzwiller_wmel_embryo0to2hr_a	gutzwiller_wmel_embryo0to2hr_b	gutzwiller_wmel_embryo2to4hr_a	gutzwiller_wmel_embryo2to4hr_b	gutzwiller_wmel_embryo10to12hr_a	gutzwiller_wmel_embryo10to12hr_b	gutzwiller_wmel_embryo12to14hr_a	gutzwiller_wmel_embryo12to14hr_b	gutzwiller_wmel_embryo18to20hr_a	gutzwiller_wmel_embryo18to20hr_b	gutzwiller_wmel_embryo22to24hr_a	gutzwiller_wmel_embryo22to24hr_b	gutzwiller_wmel_L1_a	gutzwiller_wmel_L1_b	gutzwiller_wmel_L2_a	gutzwiller_wmel_L2_b	gutzwiller_wmel_L3_12hrpostmolt_a	gutzwiller_wmel_L3_12hrpostmolt_b	gutzwiller_wmel_L3_darkbluegutPS_1to2_a	gutzwiller_wmel_L3_darkbluegutPS_1to2_b	gutzwiller_wmel_L3_lightbluegutPS_3to6_a	gutzwiller_wmel_L3_lightbluegutPS_3to6_b	gutzwiller_wmel_L3_cleargutPS_7to9_a	gutzwiller_wmel_L3_cleargutPS_7to9_b	gutzwiller_wmel_WPP_a	gutzwiller_wmel_WPP_b	gutzwiller_wmel_pupae_12hrpostWPP_a	gutzwiller_wmel_pupae_12hrpostWPP_b	gutzwiller_wmel_pupae_24hrpostWPP_a	gutzwiller_wmel_pupae_24hrpostWPP_b	gutzwiller_wmel_pupae_2dayspostWPP_a	gutzwiller_wmel_pupae_2dayspostWPP_b	gutzwiller_wmel_pupae_3dayspostWPP_a	gutzwiller_wmel_pupae_3dayspostWPP_b	gutzwiller_wmel_pupae_4dayspostWPP_a	gutzwiller_wmel_pupae_4dayspostWPP_b	gutzwiller_wmel_adultfemale_1dayposteclosion_a	gutzwiller_wmel_adultfemale_1dayposteclosion_b	gutzwiller_wmel_adultfemale_5dayposteclosion_a	gutzwiller_wmel_adultfemale_5dayposteclosion_b	gutzwiller_wmel_adultfemale_5dayposteclosion_c	gutzwiller_wmel_adultfemale_5dayposteclosion_d	gutzwiller_wmel_adultfemale_5dayposteclosion_f	gutzwiller_wmel_adultfemale_30dayposteclosion_a	gutzwiller_wmel_adultfemale_30dayposteclosion_b	gutzwiller_wmel_adultmale_1dayposteclosion_a	gutzwiller_wmel_adultmale_1dayposteclosion_b	gutzwiller_wmel_adultmale_5dayposteclosion_a	gutzwiller_wmel_adultmale_5dayposteclosion_b	gutzwiller_wmel_adultmale_5dayposteclosion_c	gutzwiller_wmel_adultmale_5dayposteclosion_d	gutzwiller_wmel_adultmale_5dayposteclosion_i	gutzwiller_wmel_adultmale_5dayposteclosion_j	gutzwiller_wmel_adultmale_30dayposteclosion_a	gutzwiller_wmel_adultmale_30dayposteclosion_b	invert	module
cds1008	647.325251267442	486.382667279595	505.654295669023	634.527630627915	632.375767472901	556.427833266734	520.987221877214	660.977644848673	576.072313753529	530.826315431187	571.239220181725	403.874742816967	520.32589593685	561.471977981352	579.321270956136	606.571803075616	532.602571322405	541.12529640457	539.541862737199	525.245937273039	552.98317303952	559.617881819132	521.971450328597	441.740051271262	510.621793468882	427.133512028975	422.205973422832	371.683374484529	421.464306173407	397.221704257087	360.668401715795	421.128086569084	318.830293786806	380.590737205148	493.01706277675	430.211079436877	374.716595060552	444.11733180572	471.688961397406	405.027899368006	547.785537390136	558.622514471852	522.745949991704	428.265713005026	421.664759488815	388.007274722388	414.326276168588	386.948831504139	391.420871998533	348.426183958987	428.653125685012	436.937483647789	551.457698958015	354.743721360038	409.843759177613	FALSE	black
cds1012	114.874205165926	123.628916090834	84.6107685216837	115.111610242941	171.452942436768	121.573582503541	157.437391080778	93.9048538504099	77.5814932540925	92.4261311148971	59.6947055273174	118.463657512513	89.8677928042559	74.8238578140689	88.0561726964258	78.0049492589336	63.2636038998082	64.3641306212238	94.9989173968826	105.257314283903	71.2685281075302	89.8817894792005	80.6970455851148	74.8406806343157	106.162939273761	92.7994045074642	58.1557139871761	67.6202758808895	76.9057929527999	90.9496174283111	55.2920175566932	71.4217461984822	66.9108708088655	39.0312443320865	75.0627919745221	101.465860418128	57.2747056595879	85.6236776471716	79.1775321481268	70.3930340621428	72.5323941510857	50.078809819439	65.3772773133571	54.6781828049331	57.4256327880213	64.4026925411964	62.1999644734757	52.46516358271	60.5130782648209	66.2171042357242	44.6067767155329	66.4722664503027	52.9625597510765	53.9693545723582	52.7806178621628	FALSE	black
cds1013	735.451507030244	863.948436274882	772.190881958178	940.916700566211	1024.44155807731	1173.41585668263	822.475433565319	1191.21075831188	762.379423633411	908.059094957021	790.311299739197	721.40459769751	625.802511937038	577.612621812721	1006.98853933369	756.024166487245	741.277428149285	404.440750323784	634.136779690668	860.088419050815	660.403463932097	869.315706717656	705.739351869381	775.003770181571	677.376526171525	574.979136553765	478.986775297681	463.121002340138	426.811312531192	400.312505687278	415.255537431716	346.9574773018	541.84654961053	506.839250533018	722.342941754273	544.061206722148	367.476927124636	432.601262146909	656.200290427834	436.163431810509	486.974149085498	716.593126899742	581.736699056816	533.080041811889	397.087378662173	369.858966218028	516.147305557062	455.13200568404	467.024130123107	475.157898708522	387.908789301946	485.763947431097	497.45724229974	483.249544928134	473.994941848782	FALSE	black
cds1018	537.337174073282	577.818623630467	566.868141026695	432.161757831868	868.145640783721	823.115450331894	790.856713770261	622.620319186249	579.48884652341	704.049127844427	666.391393355503	719.355616434727	433.335702634742	327.680807117988	674.399825324819	375.330703715251	268.977988917271	423.059933556311	527.462916537089	680.625133306737	514.894203192058	841.179560475391	472.225274591155	647.720998049999	600.23298600279	593.892652510928	492.135996885613	461.285586071401	376.200544794771	297.732250885838	475.965640413702	365.547780879821	568.139682109627	463.435704212619	429.056067164552	569.367486984619	445.326507909539	352.849745559259	553.367900806043	383.652886696377	537.783058025517	473.150670816405	679.293344765548	551.879422705565	571.109514684799	456.536022284032	300.189978939189	561.625658304753	501.164944372926	431.497919371776	385.156740296114	500.68052915737	412.695277482914	486.795434020426	484.834070118908	FALSE	black
cds1019	1301.01090440847	1029.8955749568	1676.75426607341	2169.83277036693	2023.22172418065	2717.52513107653	1480.03124180952	1164.99478443284	1652.7074374956	1565.49526498591	1534.96139666789	1765.7995349386	1165.05471903518	999.47103546909	1263.86934491419	1647.39994908785	1313.96468776827	1430.48926434389	1413.11643587525	1585.95846336141	1380.68486320269	1244.09187318577	1635.3473546067	1899.01297416925	1546.01055748261	1558.75403622375	973.022439855656	1156.82459713779	1118.29473773795	921.477789501273	1077.68780988996	1038.50620008126	1085.52166325945	1138.35049668845	1095.48430229813	1353.70423603948	1179.90830498169	1034.99669236181	1114.80304686097	922.747886653189	1013.70264740087	1216.66015699792	1640.18885749301	1254.79725272395	1279.13039080398	1073.57834422634	1049.53640673277	1083.80166843162	1145.10972137133	953.062364702262	1131.23478426849	1125.91684307059	978.425927001761	1283.74768485122	1231.22912696468	FALSE	black
cds1020	2764.83599310894	2850.40414422088	2796.75712360966	2927.84256693989	2976.33778822697	2921.87835810308	3033.8068464563	3616.00161123464	3428.77611128533	2842.75453132127	2920.53830661897	2862.10185277694	2741.29417886294	2841.96353148278	2804.75585717694	2721.86039457687	3128.1038779311	3209.022208877	2273.86735476831	2457.45647285408	2409.533716213	2349.67208331303	2245.48538121484	2004.41993689593	2371.85802413679	2478.47843938023	2281.84633171055	2039.50375373	2073.16322003689	2214.46615654945	2083.71915380382	1947.52887226912	1950.7262496033	1687.29221860839	1983.38309734029	2145.96714059648	2334.62563695558	2106.39871472286	2268.55564182205	1911.98870423749	1988.13603295035	1991.00808204485	2427.41236561674	2142.42475992284	2034.74904813529	2003.76745925624	2043.35244133553	1993.26106386196	1808.18884627663	1851.06351355109	1792.91322206197	1983.20035965234	1906.34425853005	1958.86778296105	1821.81447536054	FALSE	black
cds1044	1240.36680609754	1094.94016695784	1186.14285000541	1167.16436935535	1509.91875096189	1592.90102588946	1436.5677762527	1507.49471478156	1340.07252884033	1300.3809020896	1208.32152398854	1085.88206005644	1201.27042828116	1229.90114788698	1159.25757873321	1191.63065432223	1297.61682843948	1284.36828421789	1115.71080945091	1367.14376343497	1106.19297261881	1102.81089811396	1275.8987832512	1094.83855042001	1265.98009466438	1228.70506406129	1242.37558295647	1197.98379930091	1187.44301455948	1097.19350507115	1037.08286835418	975.174536476796	1117.01351349484	939.427964208152	991.422780916817	1073.40403387323	1034.3170779237	1154.71760110621	1083.93058784022	981.984865863258	1067.7269747489	1170.97030275406	1074.54414192359	1120.23022395969	1018.67275277014	1136.27428983925	1282.00905703262	1034.53109542779	956.51869472576	982.504541846636	1129.48106525141	1039.57092464191	1002.53618995542	904.374655434949	955.215407831003	FALSE	black
cds1053	2009.91432641915	2231.77217577429	2291.35033774483	2716.70805922772	2914.70222385358	3339.64010864932	2214.72124732989	2750.55904069575	2154.6025979568	2300.67761320083	2492.55651060642	2507.21178128964	2063.83254575413	1831.41123969693	2501.80054512484	2401.59843846039	2477.5649379464	2977.13844733684	1867.51041689141	1466.49872406607	1967.34807452312	1564.33928499917	1773.44407624572	1899.48472435873	1768.18828293615	1913.51924217668	1677.90594777064	1779.12374130167	1972.45946658641	1849.18584429459	1766.25182188506	1959.52627408042	1676.71483012727	1773.55365155011	1951.90005568467	2097.89735329624	1902.52178310682	1832.30575711935	1974.852310711	2103.01935337855	1984.3367991658	1725.76723947226	1701.47849252441	2012.08509466249	1867.51032042859	2163.76164554198	1813.03958052905	1905.11982166509	1715.66678078626	1896.21541457493	1706.30346510409	1475.56144939642	1489.17774420926	1959.20169910642	1721.02034674369	FALSE	black
cds1054	1457.95719493118	1381.82838509989	1119.82235998124	1683.84410899048	2434.79013263675	2246.34880780591	1920.05415759098	2521.98894989759	1552.61849058893	2066.11958535766	2028.14327019279	2348.60220513349	1524.59296177563	1532.72002471171	1727.80022311268	2088.07464901818	1450.19318007443	1085.3811683779	1627.77518785351	2033.94684713622	1450.24226200406	1805.0037110172	1581.02250351017	1612.38824658618	1574.27838041014	1500.10090249656	1592.25897578552	1278.82956648061	1332.93900346618	1429.67687285298	1457.83359783539	1688.91239271942	1730.98115751002	1200.14062500571	1689.06404069218	1583.4808336143	1708.51890293703	1458.54995666771	1631.5589448726	1719.69413517776	1376.6070270859	1656.88294624562	1905.4271687381	1697.62432454589	1934.46543045994	1857.72143189077	1689.83907690352	1812.12277689333	1803.07501240444	1633.55711092918	1903.07714173075	1737.98962004919	1792.16868574447	1513.89349986085	1852.70199776845	FALSE	black
cds1067	876.443704027045	1316.40497101668	801.51721383164	925.753658005937	784.690608361945	737.559643951676	1107.91107205835	1333.22931802979	758.054666406956	1069.59724025182	917.068097426412	1850.91960830942	1073.62057956601	1152.94068480482	1123.14017254994	1043.46673583137	1191.66322096053	1811.95758606224	810.131083100254	715.448925156383	906.854428339029	1076.14788152397	878.60900918199	917.922071713826	874.647624408769	811.499317684231	717.038296529704	691.759141396668	771.573820057231	1067.01824163953	862.939840518489	761.889409375025	648.503579375863	907.170805923261	863.395998344783	793.193243631373	633.275416245079	732.093360696538	837.995514565031	992.895445387363	864.532603112398	851.472441620233	798.830475778166	779.867010729538	843.285847488202	685.036152571183	740.747601391805	538.551719849369	852.512692164191	802.701563860382	858.424766799524	753.9334194002	723.373302695213	741.018732134765	816.908727511374	FALSE	black
