darby_woo_adultmale_a	darby_woo_adultmale_b	darby_woo_adultfemale_a	darby_woo_adultfemale_b
cds0	0	93.8483207401761	88.7838721942488	212.804807324107
cds10	699.774131669547	666.506908722295	623.524768000265	635.275365046102
cds100	7827.97733876416	5464.27440268094	3993.19932598382	3106.74556692492
cds101	1968.84575936886	1779.04139560025	1275.01645574172	1017.58808377235
cds102	2258.16662507509	2354.70869312356	2124.52503444946	2204.48359473968
cds103	3558.54704858266	7250.72462864044	10701.4185434389	7640.09632803885
cds104	698.506119897123	461.614210375239	853.340940230703	565.340848141557
cds105	357.371235511288	400.828820961609	605.923835704131	621.24692814976
cds106	2294.4430887488	2339.02310365689	1915.36129714047	1870.29994294158
cds107	1341.46701041052	1819.16791611362	2767.5997088739	2338.8485345871
cds108	963.365352067879	910.667084232803	950.86997092186	795.445492694781
cds109	1134.4398033923	1045.53777530472	960.469012692243	1002.18374755188
cds11	320.729810348542	218.979415060411	285.527477503389	337.793528292513
cds110	780.980233082947	1184.31470246377	1034.5538133076	718.707247914219
cds111	1312.74869370639	1275.70423568914	989.460872546736	1193.53438935376
cds113	25753.8167701088	16595.9638000236	21792.9457754113	33053.0581264112
cds114	1123.78783321122	1837.04548656217	1638.39065939316	1870.43493302648
cds115	1598.11303793228	1456.47440870761	1607.33770040901	1380.36234853888
cds116	1173.6147577498	1723.70577667874	1448.45381490207	1625.47567620126
cds117	3662.41068638205	7455.54383101038	3845.14261210449	3916.91397941928
cds118	884.39539193981	683.541657131971	696.88062305912	813.919614182899
cds119	8338.63409384844	4689.64267021319	9272.69186447453	10874.9585487023
cds12	444.583063005457	204.158985035604	782.987788860627	546.611176234602
cds120	5534.96955776686	1819.30553103923	1761.65875091036	2814.81021029201
cds121	1038.13366828173	611.796425156693	634.413527735564	801.998526039898
cds122	995.368376943752	783.407305336621	1091.48453303089	1430.05571387343
cds123	463.912761396999	855.347624612629	487.745901665366	585.907993602706
cds124	522.769914192643	733.168733008842	663.577964934241	950.221418593359
cds125	358.797502478191	691.384718858654	592.325818809212	670.395008676713
cds126	0	4.84217075096209	14.9084987781378	8.60667859033386
cds129	1779.79961598732	1255.53305162188	1300.7278168009	1429.24927902627
cds13	197.936111529386	272.764694727771	342.296293212448	314.424088486514
cds130	5219.39060704698	2892.89606265442	2772.18499553637	3901.4973768311
cds131	1197.83272654558	221.281996683751	552.890178532303	289.009258333934
cds133	5072.96603083504	3956.46033068998	4170.00632960285	3850.64865838992
cds135	1029.87063105391	539.725885312399	701.069726457151	714.079680667864
cds136	120.741028032926	141.11469045661	356.876234861328	178.111485130066
cds137	97.8391425810654	144.820913491416	120.632727425683	221.794861245685
cds138	1362.01306411717	1007.28179338078	647.351350078205	755.742539693269
cds139	919.530786319466	378.468518466002	665.894098077362	916.327198778629
cds14	586.886183239777	664.79414227397	789.407455361617	830.486464877764
cds140	374.878999108686	361.299537153917	395.862278436294	343.924377745943
cds141	283.441600884911	244.750595001506	261.39765630807	216.351804872655
cds142	122.407858445805	80.8039772351443	222.239284569754	165.802783995911
cds143	821.764110781982	805.257372835539	609.743628889404	723.892327653942
cds144	897.918913709764	738.936598264788	560.317659879165	503.909049624601
cds145	650.852422285863	618.60172465788	866.516037882721	1070.45038371671
cds146	580.612593819533	819.902483902986	790.073123923473	826.370687191215
cds147	248.007835704872	308.731059936026	389.343606007152	325.950922619684
cds148	2820.00742425984	3710.02511347524	4402.2143135908	3178.97342029314
cds149	1367.28895968919	1410.38436753681	1359.91804800355	1416.39001657127
cds15	1521.02334015504	2447.87153340767	2452.46724257155	2836.11700579251
cds150	2519.07510884293	2660.10281023782	2398.64533513876	3428.74183757229
cds151	443.140548200118	425.747662524994	552.769213773721	334.903016190542
cds152	290.548420593594	685.195014143714	530.854114407565	548.165735379992
cds153	746.821158132188	1063.80943575787	881.199885597555	651.013403857553
cds154	432.407159532654	393.053746890976	397.458476358608	426.338692944335
cds155	1297.83583022794	1505.63598092447	1285.65788076835	1287.95263369591
cds157	299.903199286949	0	207.563726246078	203.131861536648
cds158	920.702821810932	888.565893657991	417.535599249138	382.825431357528
cds159	621.752256215836	476.531089777222	386.197001633382	197.915692694021
cds16	450.526224003453	950.22295363437	324.07959846897	784.526850135403
cds160	443.110496937069	537.982887891004	471.790649965772	518.416315729668
cds161	11028.5236215563	6736.64159066372	5572.83751661239	6070.43617142632
cds162	676.520767666863	525.803082619233	896.217185719051	961.691791794216
cds163	467.68975025085	442.573318356828	816.976491960785	819.951300344173
cds164	1050.04187958391	899.664807864636	1327.16185139375	1243.60818397776
cds165	608.474415250121	628.80967390966	756.980145713391	623.080073650441
cds166	1494.08171914218	2183.12586525592	1974.95796198272	1765.87333205547
cds169	826.124580160591	587.647366572634	466.019974655094	464.012959814799
cds17	1537.811328036	889.891566488919	1314.22006008549	1387.88665545923
cds172	682.118292039731	211.571526646127	325.305003395613	184.937136364985
cds173	5224.52366381815	5263.05530702984	7502.01160205025	8253.17917254982
cds174	1259.04172828952	1393.51989483925	1578.88097468658	1424.62939797018
cds175	238.319628536818	326.654376056966	514.861137877163	355.430244129401
cds176	489.136068116567	600.403922331796	535.370901834437	439.113355746978
cds177	3312.28802507707	1522.57234173219	2145.94985513443	2408.12170788037
cds178	471.546270787246	322.872499692948	452.711086420788	556.849528897925
cds18	700.817544883733	510.193303603974	520.138859776692	375.250712602511
cds180	249.957781867238	76.2193544132922	135.191079034748	118.168054066992
cds181	1399.31812179528	1998.31010388806	2492.33993878622	2214.58835139938
cds182	724.874138168428	711.773018819624	805.427462639452	777.625155141918
cds183	5278.12267928229	5783.5016897665	2929.50468012013	3469.39145151137
cds184	2041.50384798332	4046.05125273584	1335.59900929469	1687.54848671411
cds185	11560.763822457	11763.5262360777	10704.8130730513	9223.73446324783
cds186	38.3597115367027	12.6610223277894	203.15022650989	61.4573811849473
cds187	713.867943220737	816.100441165274	700.9693100624	503.3853438824
cds188	4600.88137104565	4033.05944911861	2065.02331674268	2467.50641698528
cds189	1758.24105115461	1464.51416610528	1405.0787426481	1050.36165667928
cds19	308.957968957728	457.176530592549	421.639423308374	318.695660968554
cds190	1156.40010953091	1248.07920833168	1358.06882365093	1245.13186621821
cds191	1607.65222815482	1576.82943276193	1997.0221391543	1718.28717108926
cds192	541.575194045681	720.324749106572	1338.38048649543	1114.53960085913
cds194	890.020417576191	1349.10541607863	639.726323400793	977.647206374975
cds196	705.088205902526	573.755126557476	958.188920146763	691.12120703992
cds197	353.173630437885	548.102008253445	638.67434676242	496.456725782213
cds198	245.063757131621	172.16241115231	270.333791571656	188.823342498736
cds199	5300.89858382981	3177.51604397177	4275.93496443507	3279.02143892467
cds2	1418.30325245405	2198.7789637584	1570.71033530347	1609.79567618641
cds200	1025.41470651016	868.582703556185	922.115918213339	1211.64837741561
cds201	317.544563950887	665.27443380372	596.359564990502	634.384939748077
cds202	1556.13940609871	1290.55253491359	1352.27309858495	1426.54527778596
cds203	651.539700450896	721.815433759213	1144.5933113567	1062.50537250577
cds204	2023.34691785595	2159.54837504328	3553.39255041047	2503.52578616389
cds205	229.040357626861	120.084370626656	414.460581082529	278.3855195812
cds206	449.854798930423	333.86105242452	323.188656323602	232.989482131885
cds207	2661.74585979142	2412.01591280464	2200.49226212799	2623.65307679832
cds208	890.195697413492	1296.80934411127	1381.12028937181	1662.12217326273
cds209	152.258547330297	132.24117817515	238.446834356145	212.844157325461
cds21	964.310573808773	679.175799151947	952.509021525636	917.588299854765
cds210	367.38873383869	567.422552750662	655.640319178471	608.866793882209
cds211	2572.64302405348	8348.97309782622	2734.65164989353	1962.11539678548
cds212	849.605351320288	809.966034034447	785.374924646263	665.306954573274
cds213	178.190954748915	192.474194166247	359.753454415014	207.093229281754
cds214	1150.36669984791	934.52080353124	1183.10001290955	1106.08628400915
cds215	109.366200460421	107.250498705383	182.460646987386	235.933010559135
cds216	4984.32452699369	3195.40569645059	3331.85010560839	3609.25820088657
cds217	194.58126218143	271.289227572735	290.625951186564	282.401620736371
cds218	1282.83374906655	1105.38698043534	1988.5211088549	1742.36023955868
cds219	38.3597115367027	12.6610223277894	193.056688313808	24.9826752784338
cds22	1576.91717792762	1331.93402772405	1568.88108345522	1423.22289967685
cds220	242.229507116382	127.006876285086	240.928670811017	144.836623166663
cds221	361.175187037739	303.903859512764	420.760554516996	321.594043185955
cds223	11932.1404282202	3841.93741150935	5848.32560844222	5742.33344107662
cds224	2286.07677087496	3865.08158497405	3580.52458054513	2634.61047817544
cds225	656.855755655124	441.130992485364	628.882838738751	474.241534620172
cds226	508.341795569432	307.9335834866	370.071191113658	329.302643905417
cds227	319.626424995157	246.457393527062	291.233972520652	326.058327293384
cds228	511.671580824263	444.427722526485	659.953185818608	493.718845563759
cds229	607.039358086112	753.750605714337	951.762798591157	825.338081079473
cds23	1920.90430790852	1964.30840104271	1803.12116209471	1545.12187131117
cds230	911.84762376549	1414.17952703435	1615.00137931045	1497.39063350503
cds231	1879.33740026768	1778.30642325413	1486.67866252612	1874.96177133059
cds232	813.49566716473	990.014032049575	1563.44704271043	1226.06734219758
cds233	1428.12161775876	1772.47051458279	1852.70130301776	1600.03561477807
cds234	0	0	142.578985889042	45.3910579002531
cds236	284.432583031049	408.052397407747	401.518938360764	420.269531537595
cds237	831.998292633236	1144.47507300373	871.005758286259	894.609537914145
cds238	430.2958946291	584.782344962852	753.6915434172	1308.37257492159
cds239	822.776802586135	768.837361951029	638.44460292749	685.839010257076
cds24	6569.52741998589	4220.7425999248	3302.04665870563	3405.69107425599
cds240	196.725493110246	140.950863797058	170.93933197201	168.628474152313
cds241	281.984359892367	324.192157141964	458.842716505072	468.353603054008
cds242	470.425251850678	734.324793400308	587.493147563867	502.439018834303
cds244	289.758459296628	242.809155343427	306.730754952774	264.918272836109
cds245	177.634971885347	143.057865206487	222.888944217289	333.680141484276
cds246	532.476018339616	492.742023601424	992.112110144581	679.277181477287
cds248	1075.55819782587	1177.743599877	1027.31654712982	1117.86219696835
cds249	290.726234804484	512.651457748155	567.677348359374	509.331005044955
cds25	103.680820324917	10.3699801922847	70.7360030924671	35.2969512148158
cds250	738.046712804168	643.608971514861	785.972750518701	696.518350445884
cds251	858.684938646433	461.411210494461	639.350812531913	921.165864356844
cds252	593.808334588158	614.014387072361	742.30206631989	733.356354213044
cds253	274.178169303668	193.572963589313	327.927840948288	331.944806424551
cds254	3121.96221395513	1581.81562238422	1306.35983018273	1525.046941618
cds255	65.9787038431287	11.7595575380508	50.1265009568841	97.9720593719062
cds256	1671.20305537102	1382.32703018354	2000.11240256626	1322.62711291219
cds257	1812.78406794573	1585.31825821833	1835.38908282431	1706.09812310835
cds258	831.573053925287	225.072832283154	547.485162146574	1082.77047324134
cds259	1888.23581111807	1046.28012980058	1604.14030213609	2117.41748476199
cds26	983.122433469752	1324.72124073223	1260.63804529607	1030.57297974636
cds260	8642.28092593094	2636.69891434151	4590.16514172855	11142.5968933541
cds261	303.58299314323	165.33120260552	295.054800447617	279.569930480859
cds262	965.234264987923	963.695479960891	832.778920279707	949.881127114387
cds263	780.172796520442	653.007224997573	572.062814297438	661.906372780844
cds266	378.717760059559	176.393363070762	262.695467616321	251.089210641742
cds267	404.592768956071	351.153454261239	429.199395813104	402.779598596079
cds268	1116.09617245888	1265.72099755829	1348.91652173004	1498.73899837294
cds269	416.595475440029	732.766949655774	730.992531196811	692.29535464866
cds27	2247.00737407139	3458.2117845671	4678.98152875082	2697.92662820163
cds270	3449.64682045564	2012.72792260854	3408.40946407881	3871.73287982884
cds271	571.228244195243	364.394056397529	623.702816192156	458.070691493583
cds272	762.723738036168	896.703102995477	686.332271720769	1005.5996398729
cds273	742.141751501667	463.582877099551	599.380664626577	795.412434569969
cds274	3606.80509374846	3208.14744753155	3512.62872712341	2955.3116152605
cds275	5449.11526718309	3060.15114032875	3001.16743913365	3715.22787222307
cds276	909.70776154222	776.065375772615	909.423856788409	835.991544975396
cds277	1603.39735993244	2145.58851631151	1817.89855701704	1838.19166292659
cds278	252.469530011972	143.327940514791	184.512431347017	321.618803926303
cds279	104.17690080494	74.270889714005	177.984469379642	255.107301411612
cds28	1022.60754784464	1825.06554607556	3236.42843134664	1901.12680626287
cds280	465.368173981774	342.26653373616	389.163598712968	386.968781333018
cds281	128.629105118503	106.623090107615	145.677762605752	216.221718569303
cds282	1530.52357595901	1460.09581659634	1247.32600279095	1210.48029254052
cds283	2399.97535229381	1409.78853983398	1786.73255629429	1640.25980719543
cds284	1849.95922078463	2366.78731722402	1446.66872608733	1191.81787693431
cds285	267.244970771537	118.502376172086	104.132917275977	158.393313653318
cds286	184.940306226952	32.9953915209057	298.424955807614	307.302046940057
cds287	65.6867626756812	104.500492871322	313.547592862184	228.659462626414
cds288	542.172827232666	616.524628897083	711.631528695955	795.322381285669
cds289	809.865357736432	568.808019152718	739.11189877082	544.617043039869
cds29	755.559999578879	810.703959947677	608.33850744934	568.470794988799
cds290	1501.56014795819	1500.29889606919	1595.53309980312	1402.05484047153
cds291	716.421937394898	741.108916776643	804.72362384892	942.177553525208
cds292	240.587616733417	128.201591942023	337.314161965194	259.709021072301
cds293	945.269360475927	331.708989226127	515.903073489353	845.087555294291
cds295	337.748126816016	210.337764900174	408.114717430612	523.656701356036
cds296	160.556638159798	197.123352320531	324.98054480593	218.652217525357
cds297	190.179760512409	222.134822120427	251.576862375921	218.574875646283
cds298	452.7627540298	260.827496369999	321.628030450564	570.030948252171
cds3	1532.74755692923	2200.73752232064	2310.35996226766	2340.30651543748
cds30	702.628414003635	449.704044865756	861.184461313116	800.879004034456
cds300	4807.93199940735	8804.91602042585	8035.71981606414	9432.30575850281
cds301	1248.49392684601	551.046849506408	1063.1557344011	1514.25661036362
cds302	1447.26227430016	581.060490115451	824.3903593526	807.207873075806
cds303	337.724819375065	155.088131065622	165.213928752732	114.757214632094
cds306	10.5061630323453	60.6841993736403	71.0586175596655	97.5040399800022
cds307	0	0	0	0
cds308	0	26.7201943604881	22.5017960303235	23.0668259472656
cds309	0	0	7.17299756116572	0
cds31	636.309953628211	657.717584183414	758.535544182206	1176.21040765957
cds310	0	0	11.9775525313805	0
cds311	674.219879896972	562.11773879803	861.090761102327	976.229264848901
cds313	230.30448741478	94.921918689495	162.159590183045	102.900994247428
cds314	542.842748984783	754.630289118429	1219.37636912204	1677.38169725144
cds315	1146.79234617338	1155.21320092546	893.657704254498	799.729162274293
cds316	396.665554167107	581.366235222829	403.824717127603	345.914427536606
cds317	316.080605716191	297.8083938506	615.294698515655	468.341700417366
cds318	316.998510108181	309.419297099265	380.786798722294	171.465348166519
cds319	2897.29903028609	3131.87472597964	2930.62094927043	2663.99275116624
cds32	450.69276375196	440.663158288614	668.832796124852	873.148174904098
cds320	1081.982777643	1822.94884286371	1254.75131951503	1351.79929593061
cds321	286.368858132031	135.192762735835	377.546021762589	377.271438307139
cds322	1266.67042103714	1051.46856780776	604.813061069602	623.002418088227
cds323	1117.16483286925	1095.26104988931	1292.586115518	907.699986960666
cds324	562.743361528685	1240.37925574965	1154.59059368677	926.544969388915
cds325	1414.68050280367	2265.71408195499	1409.40149949617	1241.14181445553
cds327	65.1105630030875	65.3308752113933	103.036020099115	63.6072061365388
cds328	888.205311136199	1056.18248258419	772.583865479858	848.790389812835
cds329	2478.15566083612	3395.8452170235	1670.38340973635	1749.65132982949
cds33	305.31703626109	492.37265869177	382.73655545318	363.103275720073
cds330	253.184212989237	137.711741571972	440.256046597731	381.547057131712
