chung_wbm_vector18hpi_a	chung_wbm_vector18hpi_b	chung_wbm_vector4dpi_a	chung_wbm_vector4dpi_b	chung_wbm_vector8dpi_a	chung_wbm_vector8dpi_b	chung_wbm_mammal1dpi_a	chung_wbm_mammal1dpi_b	chung_wbm_mammal2dpi_a	chung_wbm_mammal2dpi_b	chung_wbm_mammal3dpi_a	chung_wbm_mammal3dpi_b	chung_wbm_mammal4dpi_a	chung_wbm_mammal4dpi_b	chung_wbm_mammal8dpi_a	chung_wbm_mammal8dpi_b	chung_wbm_mammal20dpi_immaturemale_a	chung_wbm_mammal20dpi_immaturemale_b	chung_wbm_mammal24dpi_immaturefemale_a	chung_wbm_mammal24dpi_immaturefemale_b	chung_wbm_adultmale_a	chung_wbm_adultmale_b	chung_wbm_adultfemale_a	chung_wbm_adultfemale_b	chung_wbm_adultfemale_c	chung_wbm_adultfemale_d	chung_wbm_embryo_a	chung_wbm_embryo_b	chung_wbm_immatureMF_a	chung_wbm_immatureMF_b	chung_wbm_matureMF_a	chung_wbm_matureMF_b
cds0	1343.41	3063.27	461.47	1885.34	7938.62	9153.27	142.81	59.54	104.39	114.89	262.3	320.81	319.21	307.71	817.02	546.79	346.93	317.5	154498.29	699.07	55.73	99.23	83155.17	33.25	53.73	86194.63	36.96	79.98	129.09	159.3	165.07	173.82
cds1	1533.41	1592.63	528.69	1755.32	7386.25	10658.7	507.89	323.28	210.67	431.45	287.87	323.96	300.5	307.23	590.51	454.97	270.57	166.09	84228.74	485.37	63.22	123.45	38270.14	23.39	37.88	56415.39	34.09	30.56	210.47	151.12	161.79	109.14
cds100	1	55.37	88.27	186	439.75	947.26	31.48	19.29	6.08	27.93	15.36	17.23	11.04	21.61	38.65	33.87	26.23	13.48	5407.53	47.37	4.42	21.75	2323.54	0.7	2.78	4669.8	1	8.96	25.03	18.68	14.67	8.49
cds1000	660.85	1201.89	524.67	1564.57	7200.79	9063.83	376.18	227.52	145.43	312.82	219.18	287.17	182.35	251.05	583.06	438.26	173.34	154.52	59173.36	331.25	15.12	30.54	19711.29	5.86	12.84	28974.48	9.49	39.4	110.01	71.55	114.35	95.2
cds1001	911.35	1986.88	773.84	2894.62	12368.37	14580.54	290.05	152.97	131.86	282.99	239.42	373.56	278.85	336.25	530.19	631.04	413.93	344.64	127941.06	611.88	40.89	85.56	54188.66	29.08	30.08	67632.34	41.06	78.94	130.89	167.96	107.49	148.09
cds1002	1725.12	2268.16	877.77	3053.22	13727.14	17328.18	323.69	178.97	146.97	243.55	391.46	511.63	421.32	485.8	1078.44	938.33	644.64	453.38	191334.78	936.72	69.19	143.34	86546.79	61.91	50.1	121905.92	66.07	96.81	163.28	234.69	79.45	175.73
cds1005	12.28	7.31	7.1	95.66	561.54	447.52	28.14	13.65	7.26	13.79	17.17	18.86	13.09	8.31	39.9	30.77	9.99	7.04	3202.19	20.41	2.21	7.23	2749.32	0.76	0	2732.54	1	0.45	17.11	7.22	13.84	11.72
cds101	0	3	15	45	562.03	337.56	17.57	12.89	3.09	10.05	4.89	4	6.63	4	25.82	5	2	1.09	1461.02	9	0	0	890.61	1	0	801.74	0	0	9	5.8	5	1.58
cds103	714.08	1037.83	439.57	1545.88	3674	5351.99	299.54	159.08	87.21	220.46	153.89	215.09	204.87	179.06	391.89	367.24	197.08	111.58	49283.89	310.03	26.12	59	25970.3	9.13	18.26	32499.4	9	21.79	134.07	112.8	91.77	75.39
cds104	549.17	252.56	157.59	462.42	2711.11	2116.46	158.2	85.15	43.74	127.74	80.54	100.15	86.49	87.82	192.35	158.86	74.06	36.56	19333.84	108.99	4.88	22.46	12078.09	2.37	12.24	10571.98	2	10.71	54.23	56.28	64.19	50.16
cds106	104.21	110.66	101.36	48.24	881.92	785.93	30.89	20.73	5.99	11.88	49.15	48.96	32.75	32.24	594.59	492.55	377.53	308.62	168793.31	555.02	29.2	73.44	29525.24	23.04	19.63	102023.2	11.86	9.41	92.65	46.5	71.57	15.87
cds107	0.14	0	11.11	0	16.98	11.29	1.57	0.08	0.25	1.53	1.29	0	0	0.5	1.03	2.86	0	0.89	63.86	1.66	0	0.19	243	0	0	176.83	0	0	0.32	0.32	0.88	0.25
cds108	0	0	0	0	0	0	0	1.79	0	0.55	0	0	0	0	0	0	0	0	58.35	0	0	0	106.61	0	0	14.58	0	0	0	0	0	0
cds109	1090.65	1789.97	506.35	1709.41	3640.11	6374.4	274.09	137.7	121.79	170.6	229.73	229.31	340.11	263.97	772.89	538.37	380.23	262.1	87447.57	690.83	76.84	144.49	41843.18	38.79	38.15	66313.45	33.42	61.68	164.46	164.73	128.18	154.28
cds11	10343.35	12668.04	4407.17	16896.38	69151.37	83397.31	1632.82	1124.43	630.86	1384.25	1544.25	1598.26	1608.63	1524.42	3782.19	3054	1746.54	1116.84	671231.57	3334.41	551.09	894.8	246858.1	165.82	291.98	398662.39	169.26	254.82	963.91	1162.05	759.97	740.57
cds110	454.57	193.32	95.48	176.64	828.46	1205.23	74.43	38.55	29.76	42.19	66.7	62.54	68.32	89.31	216.11	163.79	98.88	51.26	15097.95	169.45	18.82	29.31	11045.69	8.02	8.56	9465.84	7.8	14.34	30.44	27.79	20.86	36.49
cds112	0	0	0	0	2.35	46.75	2.18	0	2.94	0	2.86	4.41	0.45	1.21	1.75	2.48	0.46	0.36	484.94	0.4	0	0.4	295.47	0	0	282.8	0	0	0	0	0	0
cds116	2471.67	3228.48	1076.54	3454.1	11399.98	14834.2	396.54	238.3	186.08	199.79	352	487.88	455.92	416	999.58	773.52	382.26	289.56	123499.49	643.88	55.19	117.35	45145.22	18.51	39.36	61921.23	27.88	57.46	173.52	194.6	118.92	194.05
cds119	252.38	1190.07	212.95	592.63	3572.93	4684.96	106.95	71.13	27.98	103.97	88.97	96.86	67.2	68.73	139.67	99.89	69.01	52.68	28536.51	131.31	8	36.84	8422.46	8.2	7	14458.29	4.87	5.43	44.45	50.29	41.3	36.01
cds120	293.83	106.49	67.03	353.14	1200.13	1272.39	51.8	26.43	22.17	59.88	41.31	32.6	29.96	31.36	81.25	62.47	37.8	20.04	10417.43	61.55	3.63	12.84	4084.95	3	4.45	4236.67	3.21	5.62	33.86	17.52	15.14	28.58
cds122	177.5	323.19	38.5	109	855.06	1007.43	67.18	32.58	27.24	56.56	24.04	43.33	27.5	28.38	102.65	48.54	27.84	21.22	6159.94	54.86	6	8	5028.76	1	0	3851.5	2	4	22.06	7.05	15	14.16
cds123	76.28	542.42	147.47	434.59	1860.93	1930.13	112.41	62.15	46.22	73.08	47.58	65.38	99.81	66.44	145.32	106.99	64.41	34.62	17842.78	84.06	7	7	8324.73	2.5	4	9550.43	4	3.38	38.42	29.99	34.5	36.51
