chung_wbm_vector18hpi_a	chung_wbm_vector18hpi_b	chung_wbm_vector4dpi_a	chung_wbm_vector4dpi_b	chung_wbm_vector8dpi_a	chung_wbm_vector8dpi_b	chung_wbm_mammal1dpi_a	chung_wbm_mammal1dpi_b	chung_wbm_mammal2dpi_a	chung_wbm_mammal2dpi_b	chung_wbm_mammal3dpi_a	chung_wbm_mammal3dpi_b	chung_wbm_mammal4dpi_a	chung_wbm_mammal4dpi_b	chung_wbm_mammal8dpi_a	chung_wbm_mammal8dpi_b	chung_wbm_mammal20dpi_immaturemale_a	chung_wbm_mammal20dpi_immaturemale_b	chung_wbm_mammal24dpi_immaturefemale_a	chung_wbm_mammal24dpi_immaturefemale_b	chung_wbm_adultmale_a	chung_wbm_adultmale_b	chung_wbm_adultfemale_a	chung_wbm_adultfemale_b	chung_wbm_adultfemale_c	chung_wbm_adultfemale_d	chung_wbm_embryo_a	chung_wbm_embryo_b	chung_wbm_immatureMF_a	chung_wbm_immatureMF_b	chung_wbm_matureMF_a	chung_wbm_matureMF_b	invert	module
cds1000	1524.45334268273	2177.26372765217	2500.27793547335	2301.5953617072	2551.90639444082	2610.85297452097	2492.79973633213	2358.36067162427	3039.56581389078	2659.11126545289	2217.24516073709	2581.01463312226	1619.29090882031	2264.11827585596	2218.01864015058	2150.68327506194	1640.22026818024	2061.29288561446	1737.70084560938	1801.13046688688	689.330898147039	758.314690269753	1064.53875301852	563.514200021313	1000.16615710009	1252.21405218145	1153.90039851665	2790.71539828744	1703.3669518647	1274.85631766569	2591.0351741697	1912.85264120082	FALSE	orangered3
cds144	1284.57402234232	1933.27098649931	1499.19964446726	1890.58880789861	1597.72924557315	1611.39470255547	1546.81060456052	1871.73263839007	1300.60833648745	1747.35468062733	1544.39886250905	1291.45647174448	1278.11497696968	1172.10224566733	1120.71001372208	1177.0661608834	1086.72426778101	882.223236042352	1041.17675787908	901.977436902933	808.984875437436	747.402022294053	858.798447460755	1214.64135576659	512.444360624137	840.388999867493	1356.21283032398	865.43527918733	1606.83947665396	1121.76820647221	2048.02250070035	1476.63334333828	FALSE	orangered3
cds159	1447.93848000739	1008.48057408246	2051.25533370466	2009.74813096315	1223.79488170515	1451.89172993748	1751.5577143217	2039.69036462722	1296.89604430609	1932.71934250305	886.549059102549	730.457609675206	890.010591371075	729.679490814762	782.468532297603	757.334854041259	696.972179261928	559.723103755114	1007.08413485392	440.875957981449	707.415196400897	320.413200688363	847.496693061085	173.573913146497	763.431605247545	682.746040683954	437.019004109793	1023.91159082259	1267.22852247965	1252.30208115819	1705.56655838837	1154.20831813074	FALSE	orangered3
cds161	592.375084756468	1151.58095303395	661.731216594333	853.714901615268	1032.23032711873	1108.52125586275	848.825589297487	929.232595970471	962.228796097321	801.597255234171	910.29491882907	702.135552722397	1077.96918456985	891.357297005184	741.571285478261	578.18508232184	315.969765468314	223.601430326986	327.213594987335	330.160994740893	228.454335684524	477.010211210187	281.187412933417	301.169311416709	323.484982052733	370.607960755069	152.323029945806	399.29631263498	459.908107142425	668.404521130218	323.739646679533	757.534424578795	FALSE	orangered3
cds208	778.844237182676	876.993961527027	891.018534948145	1002.29374184745	957.672494701731	1055.34290435189	617.262852023766	768.463772864818	883.225790269096	833.905011571093	864.93659601272	650.772566736411	497.841508408113	640.539610520483	674.013991101011	610.898304325622	266.045095070577	297.890862719247	379.665049945081	561.709081714356	189.884146073549	456.74079346801	474.510880762721	209.060611881203	445.644451410316	323.899901929307	401.800680282555	645.449020557092	710.943249669202	568.483736095227	918.948631947602	635.560383982365	FALSE	orangered3
cds218	839.717900003022	764.984577098618	544.632572061759	481.130477040901	488.391969714269	631.60441370154	545.660212111262	489.495909276285	532.951136383237	421.727284187307	609.253374549978	437.820877159487	430.082109845117	513.332042804731	479.451952050919	488.904283276773	193.59660651639	249.934797182829	209.372792561419	217.70355850742	597.069449751073	325.649335842671	266.999108648871	270.252815731454	145.94151541508	194.771163048006	455.621098421968	398.118447405968	514.202301649284	366.209789882911	520.686613573953	370.81092171989	FALSE	orangered3
cds222	1459.00709687732	1971.42028346539	1621.79448553646	1658.15313812484	1607.95165300649	1634.91458934688	1721.4106287079	1901.62307568084	1788.4750367145	1640.00805058918	1425.38574832895	1417.89942788307	1818.63964291181	1476.78458276399	1208.30457502203	1239.317299366	1032.01849412681	1006.97329876945	1234.922734552	943.078693263337	624.096204454678	578.116546349113	1080.13273999712	726.194913587025	686.240132825679	900.166276874241	1142.94295352095	1136.97624904669	1434.09245265463	1129.15323683576	1736.9513127636	1197.4469109738	FALSE	orangered3
cds231	2196.06376889893	1430.84156991737	684.352045530698	1575.96406746089	1377.56039213269	1665.16139159003	341.418872014636	477.729430822498	599.607132593583	397.526451951046	494.737621274788	736.70326969256	478.64666495811	571.088833750443	576.713419458142	589.354196870136	577.727144522054	471.791425551774	506.627379893409	361.524216311217	257.749373600218	366.166545800973	401.155898820727	175.942368101712	243.706115019249	366.927776827711	371.519631100288	259.186577693927	739.117212389113	664.383696792673	336.632741370498	726.063911993302	FALSE	orangered3
cds272	2310.56143136315	2862.22144978771	1417.99333693252	1919.51581992772	1570.20818626357	1815.89418124498	1253.65578223027	1299.73978710324	2100.57653549784	1030.40246433353	1381.50871116683	1445.43427007021	1998.70866833428	1705.87533072017	1312.99540245135	1797.5154393508	1247.11048291892	1223.00335752235	1675.13304719887	1148.61621823426	643.035933066228	1070.95960199956	1100.34274119204	604.453039102537	1115.91747403551	1437.98801086539	548.879405435177	1116.06634101824	1962.35663848912	1910.32514408232	1405.35735119371	1458.77046894312	FALSE	orangered3
cds310	1202.15666955667	1763.62314445091	1244.25931224098	1050.89612255164	1104.57590563425	1168.03418897674	1044.67327176399	1186.52917154781	1168.87394643615	956.266190922975	1049.08434807062	1029.08533391217	1017.3131478254	1024.02582039871	869.338709219105	889.45554232508	815.705167488576	957.475962835475	1030.53372849645	820.069585166674	717.865196271475	593.474789616352	999.970489031283	647.994688171491	826.74208070192	903.186914140918	785.174749065298	944.735075694363	1158.3839503065	1255.14652910967	1239.99332110088	1302.67522018417	FALSE	orangered3
cds325	1335.0731116275	1082.63721648564	813.590308493444	823.108116755914	1246.17883166031	1115.0046599473	272.631283909637	290.267978995949	231.687543646267	393.360957566526	173.853581773269	263.789360919021	169.987804892201	161.433393867711	338.996427660824	246.620313971057	329.534502776053	208.119275264399	191.052648864844	208.655334776633	541.336998829327	524.081273763952	318.885970706384	422.818127680575	332.063103771472	316.770604111105	180.9218317529	637.622401600948	459.28383212695	628.06635370653	538.937800506707	326.479615391345	FALSE	orangered3
cds335	4113.06708409391	3224.94053758171	3314.00149864416	3042.17839743695	2382.78901225959	2350.92941516242	2219.15981135582	1646.57711352802	1519.39051173831	2244.39820342668	1681.75452057606	1865.74326480223	1554.40531406569	1345.54346493904	1418.99867572181	1587.38915256936	1852.2880354757	1440.49676385263	2078.06399958738	1307.51848805366	1038.64046384318	1364.04099191838	1310.26065001523	1117.53936042739	1609.72911113582	1455.28248552559	1558.98105427025	1499.03733790983	3240.44249685432	2200.10388443684	3474.9480650691	2317.63093566314	FALSE	orangered3
cds34	313.812162471235	451.773932097005	178.178974639396	364.485192190993	524.732308909649	380.55947695014	115.734508156333	117.422719578921	72.9801950795128	190.803731122411	147.607289386329	157.97196326129	199.984576725931	138.783314901403	138.097211861958	180.876140715992	192.221565928309	115.750036738345	154.314489471335	186.198621178327	156.938744648602	192.278414564754	122.980705397995	59.4300742962413	240.700038976915	141.893774994829	123.238097105278	175.096853988391	305.065706539044	206.467595154916	376.273671517442	238.421172903999	FALSE	orangered3
cds358	1558.11284623728	2707.2067964132	1460.59670883239	1741.31825071784	2026.06914636965	2038.10192268657	1275.23600818402	1238.22378096859	1336.73088955503	1373.69822723766	1205.08651903313	1427.12766689487	1408.49525177155	1038.88672411642	934.989248624985	1048.37784628668	1024.24468956901	932.529870399985	1326.70529669177	877.782323975792	846.226891332596	1234.53958591504	1403.85500932612	754.038720435908	846.383571674441	1180.00436099993	1211.53627714911	1083.82305652011	1464.49171614916	1967.3639920947	1825.97964819998	1457.49218148674	FALSE	orangered3
