darby_wmel_doxy_a	darby_wmel_doxy_b	darby_wmel_doxy_c	darby_wmel_nodoxy_c	darby_wmel_nodoxy_a	darby_wmel_nodoxy_b
cds0	360.088352972144	309.985365110229	570.777566978693	667.873199979537	432.894421334142	309.038947102024
cds1	58.1817576997204	109.291448869276	133.570457459632	169.621301635778	150.786169770398	100.292992451083
cds10	11587.1633853863	13544.1707518612	11530.7849664824	6324.37705945669	8846.63809834178	8674.76207177874
cds100	44.9905391335666	0	54.49674664353	97.1640891736831	44.6314550072416	0
cds1000	42.3252673117199	532.405486634615	305.13428948556	182.831413232157	283.671346280903	392.065922570438
cds1002	190.200521591489	197.545373786245	357.328250938912	444.449229488616	396.76991916706	87.3187747354217
cds1003	365.543266407823	151.225854268177	376.972752866153	298.258614521538	171.843840387249	475.827213247047
cds1004	74.8162940798952	196.505477240147	213.525264626696	254.107899272736	233.652913951685	268.283366512723
cds1005	137.059601594235	93.3518757995309	191.325713818223	257.707140408343	183.692684531463	175.916921025775
cds1006	53.4942623296231	0	176.549031964314	93.248461151312	0	106.206742336415
cds1007	252.618800374397	268.313295021237	375.476096665988	365.657664651405	397.308127211121	309.548015623909
cds1008	73.5271001932333	58.2713255885772	88.8969824643028	123.855653749745	126.962167768639	89.5922804428378
cds1009	977.947695667423	1013.89123505387	938.193216895476	424.350377089076	529.981976323594	818.256847847576
cds101	3.12959500080603	0	3.28046631413273	0	6.24853231574417	3.03335063519326
cds1010	231.843710057042	179.399750063044	330.003517262842	287.654851140877	172.2589962709	189.120047091043
cds1011	143.419433052695	91.6943930474482	160.713635395211	284.650245608314	119.035869245075	173.942187740757
cds1012	102.265563007937	40.600465396807	159.41353799067	184.813635329856	205.326234550772	198.895380746099
cds1013	24.3743070562073	155.566836148449	89.356162513504	88.811141852478	120.052547045927	44.2325717416077
cds1014	542.603867645595	115.400908743956	425.509018176837	110.365731724455	243.826675742036	345.583703051108
cds1015	355.090161784796	314.349705181643	436.65022717163	400.772298406134	291.982335799021	240.947880113788
cds1016	580.497974077291	573.824057548498	506.168769837732	425.071556612465	552.107722899176	212.265907789638
cds1017	49.0631213002366	8.56200290680963	62.5052291251957	24.9665234695448	2.80797303294245	34.1000798073317
cds1018	464.176253348558	79.6266270333296	277.205673548639	277.26038732889	520.366349323158	172.841432349508
