term	clusteroccurences	genomeoccurences	pvalue	correctedpvalue	oddsratio	group
1918	IPR036770:Ankyrin repeat-containing domain superfamily	5	19	0.00068810473845382	1	9.20181088918071	upregulated
261	IPR002110:Ankyrin repeat	5	20	0.00088946682239979	1	8.58376544567948	upregulated
1405	IPR020683:Ankyrin repeat-containing domain	5	21	0.00113180084402211	1	8.04290612671794	upregulated
735	IPR006521:Tail protein I	2	2	0.00162336371563438	1	Inf	upregulated
2535	GO:0005515:protein binding	6	36	0.00255825160789457	0.918412327234151	5.20843163674973	upregulated
2180	GO:0006457:protein folding	3	9	0.00448056874297355	1	12.4003207164641	upregulated
325	IPR002566:Surface antigen msp4	2	4	0.00923944059574715	1	24.2826566635262	upregulated
946	IPR011250:Outer membrane protein/outer membrane enzyme PagP,  beta-barrel	2	5	0.014999676406237	1	16.2092102454964	upregulated
2330	No GO terms for biological process	37	709	0.0189279798924058	1	2.14606554926406	upregulated
383	IPR003346:Transposase, IS116/IS110/IS902	2	6	0.0219176066688351	1	12.1636541987917	upregulated
2367	No GO terms for cellular component	47	1021	0.0335265454984035	1	3.29525189795334	upregulated
167	IPR001404:Heat shock protein Hsp90 family	1	1	0.0406834825061025	1	Inf	upregulated
221	IPR001844:Chaperonin Cpn60	1	1	0.0406834825061025	1	Inf	upregulated
226	IPR001867:OmpR/PhoB-type DNA-binding domain	1	1	0.0406834825061025	1	Inf	upregulated
307	IPR002423:Chaperonin Cpn60/TCP-1 family	1	1	0.0406834825061025	1	Inf	upregulated
342	IPR002734:Bacterial bifunctional deaminase-reductase, C-terminal	1	1	0.0406834825061025	1	Inf	upregulated
349	IPR002830:UbiD decarboxylyase family	1	1	0.0406834825061025	1	Inf	upregulated
364	IPR002994:Surfeit locus 1/Shy1	1	1	0.0406834825061025	1	Inf	upregulated
476	IPR004276:Glycosyltransferase family 28, N-terminal domain	1	1	0.0406834825061025	1	Inf	upregulated
550	IPR004794:Riboflavin biosynthesis protein RibD	1	1	0.0406834825061025	1	Inf	upregulated
604	IPR005664:Tetrahydrodipicolinate N-succinyltransferase, transferase hexapeptide repeat family	1	1	0.0406834825061025	1	Inf	upregulated
629	IPR005761:UDP-N-acetylmuramoylalanyl-D-glutamate-2,6-diaminopimelate ligase	1	1	0.0406834825061025	1	Inf	upregulated
672	IPR006009:N-acetylglucosaminyltransferase, MurG	1	1	0.0406834825061025	1	Inf	upregulated
734	IPR006517:Archaeophage PsiM2, terminase large subunit	1	1	0.0406834825061025	1	Inf	upregulated
772	IPR007235:Glycosyl transferase, family 28, C-terminal	1	1	0.0406834825061025	1	Inf	upregulated
826	IPR008866:Bacteriophage lambda, GpA	1	1	0.0406834825061025	1	Inf	upregulated
919	IPR011032:GroES-like	1	1	0.0406834825061025	1	Inf	upregulated
968	IPR011549:Riboflavin-specific deaminase, C-terminal	1	1	0.0406834825061025	1	Inf	upregulated
1294	IPR018370:Chaperonin Cpn60, conserved site	1	1	0.0406834825061025	1	Inf	upregulated
1334	IPR019805:Heat shock protein Hsp90, conserved site	1	1	0.0406834825061025	1	Inf	upregulated
1384	IPR020575:Heat shock protein Hsp90, N-terminal	1	1	0.0406834825061025	1	Inf	upregulated
1418	IPR020818:GroES chaperonin family	1	1	0.0406834825061025	1	Inf	upregulated
1443	IPR021322:Protein of unknown function DUF2924	1	1	0.0406834825061025	1	Inf	upregulated
1505	IPR023180:Tetrahydrodipicolinate-N-succinyltransferase, chain A, domain 1	1	1	0.0406834825061025	1	Inf	upregulated
1619	IPR027409:GroEL-like apical domain	1	1	0.0406834825061025	1	Inf	upregulated
1620	IPR027410:TCP-1-like chaperonin intermediate domain	1	1	0.0406834825061025	1	Inf	upregulated
1621	IPR027413:GroEL-like equatorial domain	1	1	0.0406834825061025	1	Inf	upregulated
1718	IPR033454:RecG, wedge domain	1	1	0.0406834825061025	1	Inf	upregulated
1769	IPR035421:Terminase, large subunit gp17-like	1	1	0.0406834825061025	1	Inf	upregulated
1978	IPR037124:GroES chaperonin superfamily	1	1	0.0406834825061025	1	Inf	upregulated
1979	IPR037133:Tetrahydrodipicolinate-N-succinyltransferase, N-terminal domain superfamily	1	1	0.0406834825061025	1	Inf	upregulated
1985	IPR037196:HSP90, C-terminal domain	1	1	0.0406834825061025	1	Inf	upregulated
2282	GO:0030259:lipid glycosylation	1	1	0.0406834825061025	1	Inf	upregulated
2572	GO:0008666:2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase activity	1	1	0.0406834825061025	1	Inf	upregulated
2576	GO:0008703:5-amino-6-(5-phosphoribosylamino)uracil reductase activity	1	1	0.0406834825061025	1	Inf	upregulated
2584	GO:0008835:diaminohydroxyphosphoribosylaminopyrimidine deaminase activity	1	1	0.0406834825061025	1	Inf	upregulated
2636	GO:0016758:transferase activity, transferring hexosyl groups	1	1	0.0406834825061025	1	Inf	upregulated
2650	GO:0016831:carboxy-lyase activity	1	1	0.0406834825061025	1	Inf	upregulated
2658	GO:0016881:acid-amino acid ligase activity	1	1	0.0406834825061025	1	Inf	upregulated
2702	GO:0050511:undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity	1	1	0.0406834825061025	1	Inf	upregulated
2096	No InterPro entry	21	355	0.0543683850716203	1	1.83093487112271	upregulated
217	IPR001789:Signal transduction response regulator, receiver domain	1	2	0.0797436012965707	1	23.8098635951885	upregulated
263	IPR002125:Cytidine and deoxycytidylate deaminases, zinc-binding	1	2	0.0797436012965707	1	23.8098635951885	upregulated
282	IPR002295:N6 adenine-specific DNA methyltransferase, D21 class	1	2	0.0797436012965707	1	23.8098635951885	upregulated
362	IPR002941:DNA methylase N-4/N-6	1	2	0.0797436012965707	1	23.8098635951885	upregulated
440	IPR003918:NADH:ubiquinone oxidoreductase	1	2	0.0797436012965707	1	23.8098635951885	upregulated
916	IPR011006:CheY-like superfamily	1	2	0.0797436012965707	1	23.8098635951885	upregulated
1158	IPR015840:DNA methyase, ParB domain-containing	1	2	0.0797436012965707	1	23.8098635951885	upregulated
1212	IPR016192:APOBEC/CMP deaminase, zinc-binding	1	2	0.0797436012965707	1	23.8098635951885	upregulated
1553	IPR024072:Dihydrofolate reductase-like domain	1	2	0.0797436012965707	1	23.8098635951885	upregulated
